step,l2,n673_ind,n673_alloc,n3709_ind,n3709_alloc,n121_ind,n121_alloc,n535_ind,n535_alloc,n1087_ind,n1087_alloc,n1225_ind,n1225_alloc,n1639_ind,n1639_alloc,n1777_ind,n1777_alloc,n2329_ind,n2329_alloc,n2605_ind,n2605_alloc
0,3270.960879,51.831726,0.273324,51.831726,0.273324,51.831726,0.273324,51.831726,0.273324,51.831726,0.273324,51.831726,0.273324,51.831726,0.273324,51.831726,0.273324,51.831726,0.273324,51.831726,0.273324
100,1424.650658,86.814370,0.264438,86.814350,0.264438,86.814499,0.264435,86.814477,0.264436,86.814484,0.264435,86.814351,0.264438,86.814477,0.264436,86.814351,0.264438,86.814499,0.264435,86.814350,0.264438
200,1111.121222,95.912234,0.191513,95.912222,0.191513,95.912270,0.191511,95.912263,0.191511,95.912266,0.191511,95.912222,0.191513,95.912264,0.191511,95.912223,0.191513,95.912270,0.191511,95.912221,0.191513
300,1345.780996,98.380270,0.146251,98.380268,0.146252,98.380281,0.146250,98.380278,0.146251,98.380280,0.146250,98.380267,0.146252,98.380279,0.146250,98.380268,0.146252,98.380281,0.146250,98.380265,0.146252
400,1748.800756,99.265638,0.132634,99.265639,0.132634,99.265643,0.132633,99.265641,0.132633,99.265643,0.132633,99.265638,0.132634,99.265642,0.132633,99.265639,0.132634,99.265643,0.132633,99.265637,0.132634
500,1698.768831,99.661202,0.136171,99.661203,0.136170,99.661204,0.136170,99.661203,0.136170,99.661205,0.136169,99.661202,0.136171,99.661203,0.136170,99.661204,0.136170,99.661204,0.136170,99.661202,0.136171
600,1174.033622,99.848851,0.143579,99.848852,0.143579,99.848852,0.143578,99.848852,0.143579,99.848853,0.143577,99.848851,0.143579,99.848852,0.143578,99.848852,0.143578,99.848852,0.143578,99.848851,0.143579
700,630.987962,99.934978,0.149842,99.934979,0.149840,99.934979,0.149840,99.934979,0.149840,99.934980,0.149838,99.934979,0.149840,99.934979,0.149840,99.934980,0.149839,99.934979,0.149840,99.934979,0.149841
800,296.768262,99.972738,0.154356,99.972738,0.154353,99.972738,0.154353,99.972738,0.154354,99.972739,0.154350,99.972738,0.154354,99.972738,0.154354,99.972739,0.154352,99.972738,0.154353,99.972738,0.154355
900,129.710497,99.988747,0.157675,99.988748,0.157671,99.988748,0.157671,99.988748,0.157672,99.988748,0.157666,99.988748,0.157672,99.988748,0.157672,99.988748,0.157668,99.988748,0.157671,99.988748,0.157674
1000,54.282547,99.995398,0.160299,99.995398,0.160291,99.995398,0.160292,99.995398,0.160294,99.995398,0.160284,99.995398,0.160293,99.995398,0.160293,99.995398,0.160287,99.995398,0.160292,99.995398,0.160296
1100,22.202662,99.998127,0.162474,99.998128,0.162463,99.998128,0.162465,99.998128,0.162467,99.998128,0.162452,99.998128,0.162465,99.998128,0.162465,99.998128,0.162457,99.998128,0.162465,99.998127,0.162470
1200,8.987030,99.999240,0.164287,99.999240,0.164271,99.999240,0.164275,99.999240,0.164277,99.999240,0.164255,99.999240,0.164274,99.999240,0.164274,99.999240,0.164262,99.999240,0.164275,99.999240,0.164280
1300,3.623300,99.999692,0.165744,99.999692,0.165722,99.999692,0.165728,99.999692,0.165730,99.999692,0.165700,99.999692,0.165726,99.999692,0.165727,99.999692,0.165710,99.999692,0.165728,99.999692,0.165735
1400,1.459657,99.999875,0.166834,99.999875,0.166804,99.999875,0.166812,99.999875,0.166815,99.999876,0.166774,99.999875,0.166808,99.999875,0.166809,99.999875,0.166788,99.999875,0.166812,99.999875,0.166820
1500,0.588473,99.999950,0.167558,99.999950,0.167518,99.999950,0.167530,99.999950,0.167533,99.999950,0.167478,99.999950,0.167523,99.999950,0.167524,99.999950,0.167497,99.999950,0.167530,99.999950,0.167540
1600,0.237597,99.999980,0.167953,99.999980,0.167901,99.999980,0.167918,99.999980,0.167922,99.999980,0.167849,99.999980,0.167908,99.999980,0.167909,99.999980,0.167873,99.999980,0.167918,99.999980,0.167929
1700,0.096095,99.999992,0.168087,99.999992,0.168020,99.999992,0.168041,99.999992,0.168046,99.999992,0.167950,99.999992,0.168027,99.999992,0.168028,99.999992,0.167982,99.999992,0.168041,99.999992,0.168054
1800,0.038931,99.999997,0.168042,99.999997,0.167954,99.999997,0.167983,99.999997,0.167988,99.999997,0.167862,99.999997,0.167963,99.999997,0.167964,99.999997,0.167904,99.999997,0.167983,99.999997,0.167998
1900,0.015796,99.999999,0.167899,99.999999,0.167783,99.999999,0.167822,99.999999,0.167827,99.999999,0.167661,99.999999,0.167795,99.999999,0.167796,99.999999,0.167718,99.999999,0.167822,99.999999,0.167840
2000,0.006417,99.999999,0.167726,99.999999,0.167571,99.999999,0.167623,99.999999,0.167628,99.999999,0.167409,99.999999,0.167588,99.999999,0.167590,99.999999,0.167485,99.999999,0.167623,99.999999,0.167647
2100,0.002609,100.000000,0.167568,100.000000,0.167361,100.000000,0.167432,100.000000,0.167436,100.000000,0.167144,100.000000,0.167385,100.000000,0.167389,100.000000,0.167247,100.000000,0.167432,100.000000,0.167464
2200,0.001062,100.000000,0.167456,100.000000,0.167175,100.000000,0.167273,100.000000,0.167274,100.000000,0.166882,100.000000,0.167211,100.000000,0.167219,100.000000,0.167024,100.000000,0.167273,100.000000,0.167317
2207,0.000997,100.000000,0.167450,100.000000,0.167163,100.000000,0.167263,100.000000,0.167264,100.000000,0.166864,100.000000,0.167200,100.000000,0.167208,100.000000,0.167009,100.000000,0.167263,100.000000,0.167309
