step,l2,n673_ind,n673_alloc,n3709_ind,n3709_alloc,n121_ind,n121_alloc,n535_ind,n535_alloc,n1087_ind,n1087_alloc,n1225_ind,n1225_alloc,n1639_ind,n1639_alloc,n1777_ind,n1777_alloc,n2329_ind,n2329_alloc,n2605_ind,n2605_alloc
0,3313.829410,51.357423,0.027332,51.357423,0.027332,51.357423,0.027332,51.357423,0.027332,51.357423,0.027332,51.357423,0.027332,51.357423,0.027332,51.357423,0.027332,51.357423,0.027332,51.357423,0.027332
100,2905.138596,56.555050,0.028425,56.555050,0.028425,56.555067,0.028425,56.555064,0.028425,56.555065,0.028425,56.555050,0.028425,56.555064,0.028425,56.555050,0.028425,56.555067,0.028425,56.555050,0.028425
200,2597.147093,61.497172,0.029059,61.497171,0.029059,61.497225,0.029059,61.497217,0.029059,61.497218,0.029059,61.497172,0.029059,61.497217,0.029059,61.497172,0.029059,61.497225,0.029059,61.497171,0.029059
300,2353.553221,66.067403,0.029337,66.067400,0.029337,66.067493,0.029337,66.067479,0.029337,66.067481,0.029337,66.067401,0.029337,66.067479,0.029337,66.067401,0.029337,66.067493,0.029337,66.067400,0.029337
400,2153.594977,70.207339,0.029345,70.207335,0.029345,70.207460,0.029345,70.207441,0.029345,70.207444,0.029345,70.207336,0.029345,70.207441,0.029345,70.207336,0.029345,70.207460,0.029345,70.207335,0.029345
500,1984.962931,73.901365,0.029149,73.901357,0.029149,73.901506,0.029149,73.901483,0.029149,73.901488,0.029149,73.901358,0.029149,73.901483,0.029149,73.901358,0.029149,73.901506,0.029149,73.901357,0.029149
600,1840.371919,77.161973,0.028801,77.161962,0.028801,77.162124,0.028801,77.162099,0.028801,77.162105,0.028801,77.161963,0.028801,77.162099,0.028801,77.161963,0.028801,77.162124,0.028801,77.161962,0.028801
700,1715.504770,80.018049,0.028337,80.018035,0.028337,80.018202,0.028337,80.018177,0.028337,80.018183,0.028337,80.018036,0.028337,80.018177,0.028337,80.018036,0.028337,80.018202,0.028337,80.018035,0.028337
800,1607.634530,82.506575,0.027784,82.506559,0.027784,82.506724,0.027783,82.506699,0.027783,82.506706,0.027783,82.506560,0.027784,82.506699,0.027783,82.506560,0.027784,82.506724,0.027783,82.506558,0.027784
900,1514.769158,84.667250,0.027162,84.667232,0.027162,84.667391,0.027161,84.667367,0.027161,84.667374,0.027161,84.667233,0.027162,84.667367,0.027161,84.667233,0.027162,84.667391,0.027161,84.667232,0.027162
1000,1435.221362,86.539249,0.026487,86.539230,0.026487,86.539379,0.026487,86.539357,0.026487,86.539364,0.026487,86.539231,0.026487,86.539357,0.026487,86.539231,0.026487,86.539379,0.026487,86.539230,0.026487
1100,1367.456311,88.159401,0.025775,88.159381,0.025775,88.159519,0.025774,88.159499,0.025774,88.159505,0.025774,88.159382,0.025775,88.159499,0.025774,88.159382,0.025775,88.159519,0.025774,88.159381,0.025775
1200,1310.072749,89.561279,0.025036,89.561259,0.025036,89.561385,0.025036,89.561367,0.025036,89.561373,0.025036,89.561260,0.025036,89.561367,0.025036,89.561260,0.025036,89.561385,0.025036,89.561259,0.025036
1300,1261.824123,90.774851,0.024282,90.774831,0.024282,90.774945,0.024282,90.774929,0.024282,90.774934,0.024282,90.774831,0.024282,90.774929,0.024282,90.774832,0.024282,90.774945,0.024282,90.774830,0.024282
1400,1221.638796,91.826468,0.023523,91.826448,0.023523,91.826551,0.023523,91.826536,0.023523,91.826541,0.023523,91.826449,0.023523,91.826537,0.023523,91.826449,0.023523,91.826551,0.023523,91.826448,0.023523
1500,1188.629005,92.739054,0.022768,92.739035,0.022768,92.739126,0.022768,92.739114,0.022768,92.739118,0.022768,92.739036,0.022768,92.739114,0.022768,92.739036,0.022768,92.739126,0.022768,92.739035,0.022768
1600,1162.089392,93.532394,0.022024,93.532377,0.022024,93.532458,0.022024,93.532447,0.022024,93.532450,0.022024,93.532377,0.022024,93.532447,0.022024,93.532378,0.022024,93.532458,0.022024,93.532376,0.022024
1700,1141.487575,94.223475,0.021297,94.223458,0.021297,94.223530,0.021297,94.223520,0.021297,94.223524,0.021297,94.223459,0.021297,94.223520,0.021297,94.223459,0.021297,94.223530,0.021297,94.223458,0.021297
1800,1126.448374,94.826822,0.020593,94.826807,0.020593,94.826870,0.020593,94.826861,0.020593,94.826864,0.020593,94.826807,0.020593,94.826862,0.020593,94.826808,0.020593,94.826870,0.020593,94.826806,0.020593
1900,1116.732663,95.354832,0.019916,95.354818,0.019916,95.354874,0.019916,95.354866,0.019916,95.354869,0.019916,95.354818,0.019916,95.354867,0.019916,95.354819,0.019916,95.354874,0.019916,95.354817,0.019916
2000,1112.211563,95.818072,0.019269,95.818060,0.019269,95.818109,0.019269,95.818102,0.019269,95.818105,0.019269,95.818060,0.019269,95.818103,0.019269,95.818061,0.019269,95.818109,0.019269,95.818059,0.019269
2100,1112.836677,96.225547,0.018655,96.225536,0.018655,96.225579,0.018654,96.225573,0.018655,96.225575,0.018655,96.225536,0.018655,96.225574,0.018655,96.225537,0.018655,96.225579,0.018654,96.225535,0.018655
2200,1118.607156,96.584932,0.018074,96.584922,0.018074,96.584960,0.018074,96.584955,0.018074,96.584957,0.018074,96.584922,0.018074,96.584955,0.018074,96.584923,0.018074,96.584960,0.018074,96.584921,0.018074
2300,1129.534624,96.902775,0.017530,96.902766,0.017530,96.902799,0.017529,96.902795,0.017530,96.902797,0.017529,96.902766,0.017530,96.902795,0.017530,96.902767,0.017530,96.902799,0.017529,96.902764,0.017530
2400,1145.607495,97.184666,0.017021,97.184659,0.017021,97.184688,0.017021,97.184684,0.017021,97.184686,0.017021,97.184658,0.017021,97.184685,0.017021,97.184659,0.017021,97.184688,0.017021,97.184657,0.017021
2500,1166.756726,97.435385,0.016549,97.435379,0.016549,97.435404,0.016548,97.435401,0.016548,97.435403,0.016548,97.435378,0.016549,97.435402,0.016548,97.435380,0.016549,97.435404,0.016548,97.435377,0.016549
2600,1192.825592,97.659021,0.016112,97.659016,0.016112,97.659038,0.016112,97.659035,0.016112,97.659037,0.016112,97.659015,0.016112,97.659036,0.016112,97.659016,0.016112,97.659038,0.016112,97.659014,0.016112
2700,1223.546242,97.859078,0.015712,97.859073,0.015712,97.859093,0.015712,97.859090,0.015712,97.859092,0.015712,97.859072,0.015712,97.859090,0.015712,97.859073,0.015712,97.859093,0.015712,97.859071,0.015712
2800,1258.525475,98.038558,0.015347,98.038555,0.015347,98.038572,0.015346,98.038569,0.015346,98.038571,0.015346,98.038554,0.015347,98.038570,0.015346,98.038555,0.015347,98.038572,0.015346,98.038552,0.015347
2900,1297.241380,98.200044,0.015015,98.200040,0.015015,98.200056,0.015015,98.200053,0.015015,98.200055,0.015015,98.200039,0.015015,98.200054,0.015015,98.200041,0.015015,98.200056,0.015015,98.200038,0.015015
3000,1339.051223,98.345752,0.014718,98.345749,0.014718,98.345762,0.014717,98.345760,0.014717,98.345762,0.014717,98.345748,0.014718,98.345761,0.014717,98.345749,0.014718,98.345762,0.014717,98.345747,0.014718
3100,1383.209619,98.477593,0.014452,98.477591,0.014452,98.477602,0.014452,98.477600,0.014452,98.477602,0.014452,98.477589,0.014452,98.477601,0.014452,98.477591,0.014452,98.477602,0.014452,98.477588,0.014452
3200,1428.894624,98.597213,0.014218,98.597211,0.014218,98.597222,0.014217,98.597219,0.014217,98.597222,0.014217,98.597210,0.014218,98.597220,0.014217,98.597212,0.014218,98.597222,0.014217,98.597209,0.014218
3300,1475.238428,98.706034,0.014013,98.706033,0.014013,98.706042,0.014013,98.706040,0.014013,98.706042,0.014013,98.706032,0.014013,98.706041,0.014013,98.706033,0.014013,98.706042,0.014013,98.706030,0.014013
3400,1521.358885,98.805285,0.013837,98.805284,0.013837,98.805292,0.013837,98.805290,0.013837,98.805292,0.013837,98.805282,0.013837,98.805291,0.013837,98.805284,0.013837,98.805292,0.013837,98.805281,0.013837
3500,1566.388412,98.896027,0.013689,98.896027,0.013689,98.896034,0.013689,98.896032,0.013689,98.896034,0.013689,98.896025,0.013689,98.896033,0.013689,98.896027,0.013689,98.896034,0.013689,98.896024,0.013689
3600,1609.497764,98.979182,0.013566,98.979182,0.013566,98.979188,0.013566,98.979186,0.013566,98.979189,0.013566,98.979181,0.013566,98.979187,0.013566,98.979182,0.013566,98.979188,0.013566,98.979179,0.013566
3700,1649.913505,99.055547,0.013468,99.055547,0.013468,99.055553,0.013468,99.055551,0.013468,99.055553,0.013468,99.055546,0.013468,99.055552,0.013468,99.055548,0.013468,99.055553,0.013468,99.055545,0.013468
3800,1686.929308,99.125815,0.013392,99.125815,0.013392,99.125820,0.013392,99.125819,0.013392,99.125821,0.013392,99.125814,0.013392,99.125819,0.013392,99.125816,0.013392,99.125820,0.013392,99.125813,0.013392
3900,1719.912203,99.190588,0.013337,99.190588,0.013337,99.190593,0.013337,99.190591,0.013337,99.190593,0.013337,99.190587,0.013337,99.190592,0.013337,99.190589,0.013337,99.190593,0.013337,99.190586,0.013337
4000,1748.305360,99.250390,0.013301,99.250391,0.013301,99.250395,0.013301,99.250393,0.013301,99.250395,0.013301,99.250389,0.013301,99.250393,0.013301,99.250391,0.013301,99.250395,0.013301,99.250388,0.013301
4100,1771.629050,99.305680,0.013282,99.305680,0.013282,99.305684,0.013282,99.305682,0.013282,99.305684,0.013282,99.305679,0.013282,99.305683,0.013282,99.305681,0.013282,99.305684,0.013282,99.305678,0.013282
4200,1789.481074,99.356858,0.013278,99.356859,0.013278,99.356862,0.013278,99.356860,0.013278,99.356863,0.013278,99.356858,0.013278,99.356861,0.013278,99.356859,0.013278,99.356862,0.013278,99.356857,0.013278
4300,1801.537551,99.404278,0.013288,99.404279,0.013288,99.404282,0.013288,99.404280,0.013288,99.404283,0.013288,99.404278,0.013288,99.404281,0.013288,99.404280,0.013288,99.404282,0.013288,99.404277,0.013288
4400,1807.554397,99.448252,0.013309,99.448253,0.013309,99.448255,0.013309,99.448254,0.013309,99.448256,0.013309,99.448252,0.013309,99.448254,0.013309,99.448254,0.013309,99.448255,0.013309,99.448251,0.013309
4500,1807.369454,99.489056,0.013342,99.489057,0.013341,99.489059,0.013341,99.489058,0.013341,99.489060,0.013341,99.489056,0.013342,99.489058,0.013341,99.489058,0.013341,99.489059,0.013341,99.489055,0.013342
4600,1800.904884,99.526937,0.013383,99.526938,0.013383,99.526940,0.013382,99.526939,0.013382,99.526941,0.013382,99.526937,0.013383,99.526939,0.013382,99.526939,0.013383,99.526940,0.013382,99.526937,0.013383
4700,1788.169266,99.562117,0.013431,99.562118,0.013431,99.562119,0.013431,99.562118,0.013431,99.562120,0.013431,99.562117,0.013431,99.562118,0.013431,99.562118,0.013431,99.562119,0.013431,99.562116,0.013431
4800,1769.258747,99.594793,0.013486,99.594794,0.013486,99.594796,0.013486,99.594795,0.013486,99.594797,0.013486,99.594793,0.013486,99.594795,0.013486,99.594795,0.013486,99.594796,0.013486,99.594793,0.013486
4900,1744.356626,99.625148,0.013546,99.625149,0.013546,99.625150,0.013546,99.625149,0.013546,99.625151,0.013546,99.625148,0.013546,99.625149,0.013546,99.625149,0.013546,99.625150,0.013546,99.625147,0.013546
5000,1713.730879,99.653344,0.013611,99.653345,0.013611,99.653347,0.013611,99.653346,0.013611,99.653348,0.013611,99.653345,0.013611,99.653346,0.013611,99.653346,0.013611,99.653347,0.013611,99.653344,0.013611
5100,1677.729264,99.679534,0.013679,99.679535,0.013679,99.679536,0.013679,99.679535,0.013679,99.679537,0.013679,99.679534,0.013679,99.679535,0.013679,99.679536,0.013679,99.679536,0.013679,99.679533,0.013679
5200,1636.771900,99.703854,0.013749,99.703855,0.013749,99.703856,0.013749,99.703855,0.013749,99.703857,0.013749,99.703854,0.013749,99.703855,0.013749,99.703856,0.013749,99.703856,0.013749,99.703854,0.013749
