step,l2,n0_ind,n0_alloc,n69_ind,n69_alloc,n138_ind,n138_alloc,n207_ind,n207_alloc,n276_ind,n276_alloc,n345_ind,n345_alloc,n414_ind,n414_alloc,n483_ind,n483_alloc,n552_ind,n552_alloc,n621_ind,n621_alloc
0,3313.381492,40.436574,0.020891,40.436574,0.020891,40.436574,0.020891,40.436574,0.020891,40.436574,0.020891,40.436574,0.020891,40.436574,0.020891,40.436574,0.020891,40.436574,0.020891,40.436574,0.020891
100,2880.017103,61.891080,0.015560,61.891080,0.015560,61.891080,0.015560,61.891080,0.015560,61.891080,0.015560,61.891080,0.015560,61.891080,0.015560,61.891080,0.015560,61.891080,0.015560,61.891080,0.015560
200,2563.647560,74.189222,0.012097,74.189222,0.012097,74.189222,0.012097,74.189222,0.012097,74.189222,0.012097,74.189222,0.012097,74.189222,0.012097,74.189222,0.012097,74.189222,0.012097,74.189222,0.012097
300,2312.370502,81.847811,0.009682,81.847811,0.009682,81.847811,0.009682,81.847811,0.009682,81.847811,0.009682,81.847811,0.009682,81.847811,0.009682,81.847811,0.009682,81.847811,0.009682,81.847811,0.009682
400,2101.245908,86.915193,0.007898,86.915193,0.007898,86.915193,0.007898,86.915193,0.007898,86.915193,0.007898,86.915193,0.007898,86.915193,0.007898,86.915193,0.007898,86.915193,0.007898,86.915193,0.007898
500,1917.974588,90.423892,0.006513,90.423892,0.006513,90.423892,0.006513,90.423892,0.006513,90.423892,0.006513,90.423892,0.006513,90.423892,0.006513,90.423892,0.006513,90.423892,0.006513,90.423892,0.006513
600,1756.537406,92.936809,0.005395,92.936809,0.005395,92.936809,0.005395,92.936809,0.005395,92.936809,0.005395,92.936809,0.005395,92.936809,0.005395,92.936809,0.005395,92.936809,0.005395,92.936809,0.005395
700,1613.812469,94.780259,0.004462,94.780259,0.004462,94.780259,0.004462,94.780259,0.004462,94.780259,0.004462,94.780259,0.004462,94.780259,0.004462,94.780259,0.004462,94.780259,0.004462,94.780259,0.004462
800,1487.810030,96.153447,0.003668,96.153447,0.003668,96.153447,0.003668,96.153447,0.003668,96.153447,0.003668,96.153447,0.003668,96.153447,0.003668,96.153447,0.003668,96.153447,0.003668,96.153447,0.003668
900,1376.873425,97.184001,0.002985,97.184001,0.002985,97.184001,0.002985,97.184001,0.002985,97.184001,0.002985,97.184001,0.002985,97.184001,0.002985,97.184001,0.002985,97.184001,0.002985,97.184001,0.002985
1000,1279.391931,97.957872,0.002398,97.957872,0.002398,97.957872,0.002398,97.957872,0.002398,97.957872,0.002398,97.957872,0.002398,97.957872,0.002398,97.957872,0.002398,97.957872,0.002398,97.957872,0.002398
1100,1193.746707,98.536034,0.001897,98.536034,0.001897,98.536034,0.001897,98.536034,0.001897,98.536034,0.001897,98.536034,0.001897,98.536034,0.001897,98.536034,0.001897,98.536034,0.001897,98.536034,0.001897
1200,1118.347541,98.963916,0.001477,98.963916,0.001477,98.963916,0.001477,98.963916,0.001477,98.963916,0.001477,98.963916,0.001477,98.963916,0.001477,98.963916,0.001477,98.963916,0.001477,98.963916,0.001477
1300,1051.692923,99.276657,0.001130,99.276657,0.001130,99.276657,0.001130,99.276657,0.001130,99.276657,0.001130,99.276657,0.001130,99.276657,0.001130,99.276657,0.001130,99.276657,0.001130,99.276657,0.001130
1400,992.421385,99.501992,0.000850,99.501992,0.000850,99.501992,0.000850,99.501992,0.000850,99.501992,0.000850,99.501992,0.000850,99.501992,0.000850,99.501992,0.000850,99.501992,0.000850,99.501992,0.000850
1500,939.341084,99.661895,0.000629,99.661895,0.000629,99.661895,0.000629,99.661895,0.000629,99.661895,0.000629,99.661895,0.000629,99.661895,0.000629,99.661895,0.000629,99.661895,0.000629,99.661895,0.000629
1600,891.436338,99.773614,0.000457,99.773614,0.000457,99.773614,0.000457,99.773614,0.000457,99.773614,0.000457,99.773614,0.000457,99.773614,0.000457,99.773614,0.000457,99.773614,0.000457,99.773614,0.000457
1700,847.856301,99.850473,0.000327,99.850473,0.000327,99.850473,0.000327,99.850473,0.000327,99.850473,0.000327,99.850473,0.000327,99.850473,0.000327,99.850473,0.000327,99.850473,0.000327,99.850473,0.000327
1800,807.893293,99.902550,0.000230,99.902550,0.000230,99.902550,0.000230,99.902550,0.000230,99.902550,0.000230,99.902550,0.000230,99.902550,0.000230,99.902550,0.000230,99.902550,0.000230,99.902550,0.000230
1900,770.957767,99.937318,0.000160,99.937318,0.000160,99.937318,0.000160,99.937318,0.000160,99.937318,0.000160,99.937318,0.000160,99.937318,0.000160,99.937318,0.000160,99.937318,0.000160,99.937318,0.000160
2000,736.555013,99.960196,0.000109,99.960196,0.000109,99.960196,0.000109,99.960196,0.000109,99.960196,0.000109,99.960196,0.000109,99.960196,0.000109,99.960196,0.000109,99.960196,0.000109,99.960196,0.000109
2100,704.266267,99.975039,0.000073,99.975039,0.000073,99.975039,0.000073,99.975039,0.000073,99.975039,0.000073,99.975039,0.000073,99.975039,0.000073,99.975039,0.000073,99.975039,0.000073,99.975039,0.000073
2200,673.734947,99.984538,0.000049,99.984538,0.000049,99.984538,0.000049,99.984538,0.000049,99.984538,0.000049,99.984538,0.000049,99.984538,0.000049,99.984538,0.000049,99.984538,0.000049,99.984538,0.000049
2300,644.657465,99.990535,0.000032,99.990535,0.000032,99.990535,0.000032,99.990535,0.000032,99.990535,0.000032,99.990535,0.000032,99.990535,0.000032,99.990535,0.000032,99.990535,0.000032,99.990535,0.000032
2400,616.777549,99.994271,0.000021,99.994271,0.000021,99.994271,0.000021,99.994271,0.000021,99.994271,0.000021,99.994271,0.000021,99.994271,0.000021,99.994271,0.000021,99.994271,0.000021,99.994271,0.000021
2500,589.882924,99.996570,0.000013,99.996570,0.000013,99.996570,0.000013,99.996570,0.000013,99.996570,0.000013,99.996570,0.000013,99.996570,0.000013,99.996570,0.000013,99.996570,0.000013,99.996570,0.000013
2600,563.803342,99.997967,0.000008,99.997967,0.000008,99.997967,0.000008,99.997967,0.000008,99.997967,0.000008,99.997967,0.000008,99.997967,0.000008,99.997967,0.000008,99.997967,0.000008,99.997967,0.000008
