step,l2,n0_ind,n0_alloc,n1_ind,n1_alloc,n2_ind,n2_alloc,n3_ind,n3_alloc,n4_ind,n4_alloc,n5_ind,n5_alloc,n6_ind,n6_alloc,n7_ind,n7_alloc,n8_ind,n8_alloc,n9_ind,n9_alloc
0,3275.925621,42.224774,0.136518,54.620821,0.105694,54.222352,0.102879,50.987024,0.115153,50.721971,0.115919,50.149884,0.116626,51.996130,0.111555,58.218318,0.097686,42.025044,0.134856,51.368607,0.115434
100,1368.112720,97.409118,0.017391,69.098464,0.200493,58.983999,0.267154,92.205630,0.051416,88.767588,0.073610,91.376367,0.056638,86.543550,0.088175,96.184173,0.025337,93.202694,0.045152,97.841169,0.014366
200,759.645217,99.957019,0.000635,77.823570,0.314135,67.927051,0.452626,98.443957,0.022250,93.554356,0.090686,96.441552,0.050433,94.397854,0.079500,99.581776,0.006014,99.414385,0.008455,99.741241,0.003709
300,460.715439,99.999758,0.000007,90.452259,0.254572,77.010334,0.608961,99.702557,0.007995,90.049951,0.261385,98.039059,0.052029,97.349235,0.070436,99.946644,0.001436,99.953889,0.001247,99.947260,0.001412
400,247.929797,99.999998,0.000000,97.214084,0.146892,85.983101,0.733683,99.964843,0.001873,89.955583,0.524452,98.888580,0.058152,98.675729,0.069361,99.992373,0.000404,99.995637,0.000232,99.986733,0.000699
500,113.300255,100.000000,0.000000,99.299576,0.081232,93.382751,0.763446,99.997263,0.000322,94.544581,0.628929,99.411964,0.067738,99.354766,0.074374,99.998872,0.000132,99.999480,0.000061,99.996671,0.000386
600,47.437583,100.000000,0.000000,99.808732,0.051891,97.255539,0.742161,99.999830,0.000047,97.625660,0.641879,99.716305,0.076613,99.703256,0.080164,99.999836,0.000045,99.999930,0.000019,99.999231,0.000209
700,19.270111,100.000000,0.000000,99.940333,0.039014,98.903350,0.715768,99.999991,0.000006,99.031309,0.632162,99.873019,0.082803,99.870408,0.084520,99.999977,0.000015,99.999990,0.000006,99.999836,0.000108
800,7.751931,100.000000,0.000000,99.979088,0.033478,99.565068,0.695742,100.000000,0.000001,99.612036,0.620569,99.945870,0.086542,99.945390,0.087315,99.999997,0.000005,99.999999,0.000002,99.999967,0.000053
900,3.107462,100.000000,0.000000,99.991996,0.031652,99.827475,0.682251,100.000000,0.000000,99.845449,0.611158,99.977574,0.088654,99.977490,0.088989,100.000000,0.000002,100.000000,0.000001,99.999994,0.000026
1000,1.244136,100.000000,0.000000,99.996744,0.031964,99.931426,0.673538,100.000000,0.000000,99.938510,0.603958,99.990855,0.089803,99.990841,0.089945,100.000000,0.000001,100.000000,0.000000,99.999999,0.000012
1100,0.498169,100.000000,0.000000,99.998623,0.033628,99.972673,0.668088,100.000000,0.000000,99.975524,0.598385,99.996302,0.090389,99.996300,0.090449,100.000000,0.000000,100.000000,0.000000,100.000000,0.000006
1200,0.199692,100.000000,0.000000,99.999405,0.036180,99.989077,0.664874,100.000000,0.000000,99.990243,0.593963,99.998511,0.090641,99.998510,0.090666,100.000000,0.000000,100.000000,0.000000,100.000000,0.000003
1300,0.080193,100.000000,0.000000,99.999740,0.039272,99.995620,0.663233,100.000000,0.000000,99.996101,0.590413,99.999401,0.090686,99.999401,0.090696,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
1400,0.032279,100.000000,0.000000,99.999887,0.042594,99.998238,0.662738,100.000000,0.000000,99.998438,0.587609,99.999759,0.090603,99.999759,0.090608,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
1500,0.013026,100.000000,0.000000,99.999951,0.045852,99.999289,0.663085,100.000000,0.000000,99.999372,0.585515,99.999903,0.090444,99.999903,0.090446,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
1600,0.005270,100.000000,0.000000,99.999979,0.048784,99.999712,0.664026,100.000000,0.000000,99.999747,0.584119,99.999961,0.090246,99.999961,0.090247,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
1700,0.002138,100.000000,0.000000,99.999991,0.051198,99.999883,0.665331,100.000000,0.000000,99.999897,0.583380,99.999984,0.090038,99.999984,0.090038,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
1785,0.000994,100.000000,0.000000,99.999996,0.052769,99.999946,0.666564,100.000000,0.000000,99.999952,0.583199,99.999993,0.089870,99.999993,0.089870,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
