step,l2,n673_ind,n673_alloc,n3709_ind,n3709_alloc,n121_ind,n121_alloc,n535_ind,n535_alloc,n1087_ind,n1087_alloc,n1225_ind,n1225_alloc,n1639_ind,n1639_alloc,n1777_ind,n1777_alloc,n2329_ind,n2329_alloc,n2605_ind,n2605_alloc
0,3223.787135,52.358730,0.546647,52.358730,0.546647,52.358730,0.546647,52.358730,0.546647,52.358730,0.546647,52.358730,0.546647,52.358730,0.546647,52.358730,0.546647,52.358730,0.546647,52.358730,0.546647
100,1110.083345,96.015253,0.380364,96.015241,0.380365,96.015288,0.380360,96.015282,0.380361,96.015284,0.380361,96.015242,0.380365,96.015282,0.380361,96.015242,0.380365,96.015288,0.380360,96.015240,0.380365
200,1748.950929,99.282320,0.264465,99.282320,0.264464,99.282324,0.264463,99.282322,0.264464,99.282325,0.264463,99.282319,0.264465,99.282323,0.264463,99.282321,0.264464,99.282324,0.264463,99.282318,0.264465
300,1149.865514,99.853428,0.287707,99.853429,0.287705,99.853429,0.287704,99.853429,0.287705,99.853430,0.287702,99.853428,0.287706,99.853429,0.287705,99.853429,0.287704,99.853429,0.287704,99.853428,0.287707
400,285.774782,99.973860,0.309175,99.973860,0.309169,99.973860,0.309169,99.973860,0.309171,99.973861,0.309163,99.973860,0.309171,99.973860,0.309170,99.973861,0.309166,99.973860,0.309169,99.973860,0.309173
500,51.571187,99.995632,0.320919,99.995632,0.320904,99.995632,0.320906,99.995632,0.320909,99.995633,0.320889,99.995632,0.320907,99.995632,0.320907,99.995632,0.320896,99.995632,0.320906,99.995632,0.320913
600,8.447746,99.999286,0.328845,99.999286,0.328813,99.999286,0.328820,99.999286,0.328824,99.999286,0.328780,99.999286,0.328818,99.999286,0.328819,99.999286,0.328795,99.999286,0.328820,99.999286,0.328831
700,1.359731,99.999884,0.333879,99.999884,0.333818,99.999884,0.333836,99.999884,0.333841,99.999884,0.333758,99.999884,0.333827,99.999884,0.333829,99.999884,0.333786,99.999884,0.333836,99.999884,0.333852
800,0.219495,99.999981,0.336021,99.999981,0.335916,99.999981,0.335949,99.999981,0.335957,99.999981,0.335809,99.999981,0.335929,99.999981,0.335930,99.999981,0.335858,99.999981,0.335949,99.999981,0.335971
900,0.035678,99.999997,0.336107,99.999997,0.335930,99.999997,0.335988,99.999997,0.335998,99.999997,0.335743,99.999997,0.335948,99.999997,0.335949,99.999997,0.335829,99.999997,0.335988,99.999997,0.336017
1000,0.005834,99.999999,0.335431,99.999999,0.335118,99.999999,0.335223,99.999999,0.335234,100.000000,0.334789,99.999999,0.335151,99.999999,0.335156,100.000000,0.334943,99.999999,0.335223,99.999999,0.335271
1098,0.000993,100.000000,0.334898,100.000000,0.334333,100.000000,0.334531,100.000000,0.334532,100.000000,0.333746,100.000000,0.334405,100.000000,0.334421,100.000000,0.334030,100.000000,0.334531,100.000000,0.334619
