step,l2,n0_ind,n0_alloc,n1_ind,n1_alloc,n2_ind,n2_alloc,n3_ind,n3_alloc,n4_ind,n4_alloc,n5_ind,n5_alloc,n6_ind,n6_alloc,n7_ind,n7_alloc,n8_ind,n8_alloc,n9_ind,n9_alloc
2800,516.018552,99.999067,0.000002,88.120405,0.027532,75.046226,0.057800,99.553524,0.001036,91.052179,0.020707,97.777214,0.005150,96.895474,0.007193,99.913711,0.000200,99.915942,0.000195,99.923952,0.000176
2900,489.972398,99.999445,0.000001,89.225050,0.026567,75.966079,0.059221,99.625452,0.000924,90.581018,0.023189,97.899119,0.005178,97.110014,0.007124,99.929322,0.000174,99.934505,0.000162,99.934365,0.000162
3000,464.703285,99.999669,0.000001,90.267070,0.025541,76.873458,0.060648,99.687416,0.000821,90.133101,0.025854,98.013625,0.005210,97.307950,0.007062,99.942036,0.000152,99.948879,0.000134,99.943221,0.000149
3100,440.178147,99.999802,0.000001,91.244494,0.024468,77.770221,0.062082,99.740556,0.000726,89.730685,0.028657,98.121484,0.005247,97.490890,0.007009,99.952406,0.000133,99.960015,0.000112,99.950780,0.000138
3200,416.375337,99.999881,0.000000,92.155884,0.023363,78.659990,0.063516,99.785875,0.000638,89.393868,0.031546,98.223336,0.005289,97.660271,0.006966,99.960875,0.000117,99.968651,0.000093,99.957256,0.000127
3300,393.280656,99.999928,0.000000,93.000353,0.022240,79.547091,0.064938,99.824282,0.000559,89.138796,0.034463,98.319728,0.005336,97.817368,0.006932,99.967803,0.000102,99.975359,0.000078,99.962824,0.000118
3400,370.885848,99.999956,0.000000,93.777672,0.021112,80.435466,0.066331,99.856610,0.000487,88.976436,0.037353,98.411126,0.005387,97.963315,0.006907,99.973479,0.000090,99.980579,0.000066,99.967624,0.000110
3500,349.188689,99.999973,0.000000,94.488381,0.019992,81.327797,0.067677,99.883632,0.000422,88.912083,0.040168,98.497932,0.005445,98.099119,0.006891,99.978134,0.000079,99.984650,0.000056,99.971775,0.000102
3600,328.193539,99.999983,0.000000,95.133861,0.018892,82.224959,0.068956,99.906060,0.000365,88.945582,0.042865,98.580491,0.005507,98.225670,0.006885,99.981958,0.000070,99.987834,0.000047,99.975374,0.000096
3700,307.911383,99.999989,0.000000,95.716323,0.017822,83.125861,0.070150,99.924548,0.000314,89.072106,0.045413,98.659097,0.005575,98.343759,0.006886,99.985103,0.000062,99.990330,0.000040,99.978501,0.000089
3800,288.358934,99.999993,0.000000,96.238723,0.016790,84.027611,0.071246,99.939688,0.000269,89.283241,0.047787,98.734006,0.005647,98.454082,0.006897,99.987693,0.000055,99.992294,0.000034,99.981223,0.000084
3900,269.556798,99.999996,0.000000,96.704622,0.015803,84.925922,0.072233,99.952008,0.000230,89.568167,0.049974,98.805437,0.005724,98.557258,0.006914,99.989827,0.000049,99.993842,0.000030,99.983597,0.000079
4000,251.527087,99.999997,0.000000,97.118018,0.014865,85.815616,0.073107,99.961976,0.000196,89.914757,0.051967,98.873578,0.005805,98.653833,0.006939,99.991588,0.000043,99.995068,0.000025,99.985670,0.000074
4100,234.290878,99.999998,0.000000,97.483168,0.013978,86.691143,0.073865,99.969995,0.000167,90.310512,0.053765,98.938592,0.005891,98.744292,0.006970,99.993042,0.000039,99.996040,0.000022,99.987482,0.000070
4200,217.865948,99.999999,0.000000,97.804429,0.013146,87.547026,0.074508,99.976413,0.000141,90.743273,0.055374,99.000620,0.005979,98.829069,0.007006,99.994243,0.000034,99.996813,0.000019,99.989068,0.000065
4300,202.264996,99.999999,0.000000,98.086118,0.012366,88.378216,0.075040,99.981525,0.000120,91.201730,0.056799,99.059786,0.006070,98.908547,0.007047,99.995236,0.000031,99.997431,0.000017,99.990456,0.000062
4400,187.494493,99.999999,0.000000,98.332408,0.011639,89.180321,0.075468,99.985577,0.000101,91.675738,0.058053,99.116198,0.006164,98.983075,0.007093,99.996058,0.000028,99.997924,0.000014,99.991672,0.000058
4500,173.554121,100.000000,0.000000,98.547246,0.010963,89.949750,0.075798,99.988776,0.000085,92.156476,0.059147,99.169955,0.006259,99.052963,0.007142,99.996737,0.000025,99.998320,0.000013,99.992737,0.000055
4600,160.436756,100.000000,0.000000,98.734300,0.010337,90.683752,0.076039,99.991292,0.000071,92.636499,0.060093,99.221146,0.006356,99.118497,0.007194,99.997300,0.000022,99.998639,0.000011,99.993670,0.000052
4700,148.128841,100.000000,0.000000,98.896934,0.009757,91.380410,0.076199,99.993263,0.000060,93.109698,0.060905,99.269851,0.006454,99.179935,0.007249,99.997765,0.000020,99.998895,0.000010,99.994486,0.000049
4800,136.611060,100.000000,0.000000,99.038190,0.009221,92.038578,0.076287,99.994801,0.000050,93.571207,0.061595,99.316147,0.006552,99.237515,0.007306,99.998151,0.000018,99.999102,0.000009,99.995201,0.000046
4900,125.859169,100.000000,0.000000,99.160798,0.008727,92.657797,0.076311,99.995998,0.000042,94.017279,0.062176,99.360109,0.006650,99.291459,0.007364,99.998470,0.000016,99.999269,0.000008,99.995827,0.000043
5000,115.844910,100.000000,0.000000,99.267182,0.008271,93.238197,0.076279,99.996926,0.000035,94.445151,0.062659,99.401808,0.006747,99.341972,0.007423,99.998735,0.000014,99.999404,0.000007,99.996374,0.000041
5100,106.536933,100.000000,0.000000,99.359484,0.007851,93.780398,0.076200,99.997644,0.000029,94.852897,0.063055,99.441313,0.006844,99.389246,0.007482,99.998953,0.000013,99.999514,0.000006,99.996852,0.000039
5200,97.901666,100.000000,0.000000,99.439580,0.007464,94.285406,0.076079,99.998198,0.000024,95.239298,0.063376,99.478694,0.006939,99.433461,0.007542,99.999135,0.000012,99.999603,0.000005,99.997269,0.000036
5300,89.904106,100.000000,0.000000,99.509113,0.007108,94.754532,0.075923,99.998625,0.000020,95.603711,0.063629,99.514022,0.007033,99.474789,0.007601,99.999285,0.000010,99.999676,0.000005,99.997633,0.000034
5400,82.508517,100.000000,0.000000,99.569509,0.006781,95.189306,0.075739,99.998952,0.000017,95.945959,0.063823,99.547366,0.007125,99.513392,0.007660,99.999409,0.000009,99.999735,0.000004,99.997951,0.000032
5500,75.679025,100.000000,0.000000,99.622008,0.006479,95.591408,0.075531,99.999203,0.000014,96.266231,0.063966,99.578797,0.007215,99.549422,0.007719,99.999511,0.000008,99.999783,0.000004,99.998227,0.000030
5600,69.380105,100.000000,0.000000,99.667680,0.006201,95.962615,0.075304,99.999395,0.000011,96.564999,0.064065,99.608387,0.007303,99.583027,0.007776,99.999596,0.000008,99.999822,0.000003,99.998467,0.000029
5700,63.576978,100.000000,0.000000,99.707453,0.005945,96.304749,0.075061,99.999541,0.000009,96.842948,0.064126,99.636207,0.007389,99.614346,0.007833,99.999667,0.000007,99.999854,0.000003,99.998676,0.000027
5800,58.235919,100.000000,0.000000,99.742124,0.005709,96.619638,0.074808,99.999652,0.000008,97.100912,0.064155,99.662330,0.007472,99.643512,0.007888,99.999725,0.000006,99.999880,0.000003,99.998858,0.000025
5900,53.324484,100.000000,0.000000,99.772382,0.005492,96.909094,0.074546,99.999737,0.000006,97.339831,0.064155,99.686828,0.007552,99.670653,0.007942,99.999773,0.000005,99.999902,0.000002,99.999015,0.000024
6000,48.811679,100.000000,0.000000,99.798820,0.005291,97.174877,0.074278,99.999801,0.000005,97.560707,0.064132,99.709775,0.007630,99.695890,0.007995,99.999813,0.000005,99.999919,0.000002,99.999152,0.000022
6100,44.668060,100.000000,0.000000,99.821949,0.005106,97.418692,0.074008,99.999850,0.000004,97.764578,0.064089,99.731242,0.007704,99.719338,0.008046,99.999845,0.000004,99.999934,0.000002,99.999270,0.000021
