step,l2,n673_ind,n673_alloc,n3709_ind,n3709_alloc,n121_ind,n121_alloc,n535_ind,n535_alloc,n1087_ind,n1087_alloc,n1225_ind,n1225_alloc,n1639_ind,n1639_alloc,n1777_ind,n1777_alloc,n2329_ind,n2329_alloc,n2605_ind,n2605_alloc
0,3309.047816,51.410071,0.054653,51.410071,0.054653,51.410071,0.054653,51.410071,0.054653,51.410071,0.054653,51.410071,0.054653,51.410071,0.054653,51.410071,0.054653,51.410071,0.054653,51.410071,0.054653
100,2593.977426,61.545394,0.058120,61.545393,0.058120,61.545448,0.058120,61.545439,0.058120,61.545440,0.058120,61.545394,0.058120,61.545439,0.058120,61.545394,0.058120,61.545448,0.058120,61.545393,0.058120
200,2151.258758,70.251354,0.058691,70.251350,0.058691,70.251476,0.058691,70.251456,0.058691,70.251460,0.058691,70.251351,0.058691,70.251456,0.058691,70.251351,0.058691,70.251476,0.058691,70.251350,0.058691
300,1838.464512,77.200704,0.057599,77.200693,0.057599,77.200856,0.057598,77.200831,0.057598,77.200837,0.057598,77.200694,0.057599,77.200831,0.057598,77.200694,0.057599,77.200856,0.057598,77.200693,0.057599
400,1605.971612,82.539448,0.055558,82.539432,0.055558,82.539597,0.055557,82.539572,0.055558,82.539579,0.055558,82.539433,0.055558,82.539572,0.055558,82.539433,0.055558,82.539597,0.055557,82.539432,0.055558
500,1433.696677,86.566403,0.052960,86.566383,0.052960,86.566532,0.052959,86.566510,0.052959,86.566517,0.052959,86.566384,0.052960,86.566510,0.052959,86.566384,0.052960,86.566532,0.052959,86.566383,0.052960
600,1308.576036,89.583300,0.050051,89.583279,0.050051,89.583405,0.050051,89.583387,0.050051,89.583393,0.050051,89.583280,0.050051,89.583388,0.050051,89.583280,0.050051,89.583405,0.050051,89.583279,0.050051
700,1220.036724,91.844125,0.047022,91.844106,0.047022,91.844208,0.047021,91.844194,0.047021,91.844198,0.047021,91.844106,0.047022,91.844194,0.047021,91.844107,0.047022,91.844208,0.047021,91.844105,0.047022
800,1160.223234,93.546466,0.044020,93.546449,0.044020,93.546529,0.044019,93.546519,0.044019,93.546522,0.044019,93.546449,0.044020,93.546519,0.044019,93.546450,0.044020,93.546529,0.044019,93.546448,0.044020
900,1124.125443,94.838008,0.041156,94.837993,0.041157,94.838056,0.041156,94.838048,0.041156,94.838051,0.041156,94.837993,0.041157,94.838048,0.041156,94.837994,0.041157,94.838056,0.041156,94.837992,0.041157
1000,1109.183840,95.826963,0.038507,95.826951,0.038507,95.827000,0.038507,95.826993,0.038507,95.826996,0.038507,95.826951,0.038507,95.826994,0.038507,95.826952,0.038507,95.827000,0.038507,95.826950,0.038507
1100,1114.532400,96.592008,0.036117,96.591999,0.036117,96.592036,0.036117,96.592031,0.036117,96.592034,0.036117,96.591999,0.036117,96.592032,0.036117,96.592000,0.036117,96.592036,0.036117,96.591997,0.036117
1200,1139.991117,97.190311,0.034011,97.190304,0.034011,97.190332,0.034010,97.190328,0.034010,97.190331,0.034010,97.190303,0.034011,97.190329,0.034010,97.190304,0.034011,97.190332,0.034010,97.190302,0.034011
1300,1184.948490,97.663536,0.032194,97.663530,0.032194,97.663553,0.032194,97.663549,0.032194,97.663551,0.032194,97.663530,0.032194,97.663550,0.032194,97.663531,0.032194,97.663553,0.032194,97.663528,0.032194
1400,1247.371837,98.042178,0.030663,98.042175,0.030663,98.042192,0.030663,98.042189,0.030663,98.042191,0.030663,98.042174,0.030663,98.042190,0.030663,98.042175,0.030663,98.042192,0.030663,98.042172,0.030663
1500,1323.256416,98.348661,0.029406,98.348659,0.029406,98.348672,0.029406,98.348670,0.029406,98.348672,0.029406,98.348658,0.029406,98.348671,0.029406,98.348659,0.029406,98.348672,0.029406,98.348656,0.029406
1600,1406.733287,98.599556,0.028407,98.599554,0.028407,98.599565,0.028406,98.599562,0.028406,98.599565,0.028406,98.599553,0.028407,98.599563,0.028406,98.599555,0.028407,98.599565,0.028406,98.599552,0.028407
1700,1490.787712,98.807173,0.027647,98.807172,0.027647,98.807180,0.027647,98.807178,0.027647,98.807180,0.027647,98.807171,0.027647,98.807179,0.027647,98.807172,0.027647,98.807180,0.027647,98.807170,0.027647
1800,1568.259480,98.980703,0.027105,98.980703,0.027105,98.980710,0.027105,98.980708,0.027105,98.980710,0.027105,98.980702,0.027105,98.980708,0.027105,98.980704,0.027105,98.980710,0.027105,98.980701,0.027105
1900,1632.717595,99.127038,0.026757,99.127039,0.026757,99.127044,0.026757,99.127042,0.026757,99.127044,0.026757,99.127037,0.026757,99.127042,0.026757,99.127039,0.026757,99.127044,0.026757,99.127036,0.026757
2000,1678.986013,99.251369,0.026574,99.251370,0.026574,99.251374,0.026573,99.251372,0.026574,99.251374,0.026573,99.251369,0.026574,99.251373,0.026574,99.251370,0.026574,99.251374,0.026573,99.251368,0.026574
2100,1703.357963,99.357636,0.026527,99.357637,0.026527,99.357640,0.026527,99.357639,0.026527,99.357641,0.026527,99.357636,0.026527,99.357639,0.026527,99.357638,0.026527,99.357640,0.026527,99.357635,0.026527
2200,1703.654688,99.448864,0.026589,99.448865,0.026589,99.448868,0.026589,99.448866,0.026589,99.448869,0.026589,99.448864,0.026589,99.448867,0.026589,99.448866,0.026589,99.448868,0.026589,99.448863,0.026589
2300,1679.238450,99.527412,0.026734,99.527413,0.026734,99.527415,0.026734,99.527414,0.026734,99.527416,0.026734,99.527412,0.026734,99.527415,0.026734,99.527414,0.026734,99.527415,0.026734,99.527412,0.026734
2400,1630.991729,99.595155,0.026940,99.595156,0.026940,99.595158,0.026940,99.595157,0.026940,99.595159,0.026940,99.595155,0.026940,99.595157,0.026940,99.595157,0.026940,99.595158,0.026940,99.595155,0.026940
2500,1561.215189,99.653614,0.027189,99.653615,0.027189,99.653616,0.027188,99.653615,0.027189,99.653617,0.027188,99.653614,0.027189,99.653615,0.027189,99.653615,0.027189,99.653616,0.027188,99.653613,0.027189
2600,1473.397822,99.704048,0.027464,99.704049,0.027464,99.704050,0.027464,99.704049,0.027464,99.704051,0.027464,99.704049,0.027464,99.704050,0.027464,99.704050,0.027464,99.704050,0.027464,99.704048,0.027464
2700,1371.854056,99.747522,0.027755,99.747523,0.027755,99.747524,0.027755,99.747523,0.027755,99.747525,0.027755,99.747523,0.027755,99.747523,0.027755,99.747524,0.027755,99.747524,0.027755,99.747522,0.027755
2800,1261.273340,99.784945,0.028051,99.784947,0.028051,99.784947,0.028051,99.784946,0.028051,99.784948,0.028051,99.784946,0.028051,99.784947,0.028051,99.784947,0.028051,99.784947,0.028051,99.784946,0.028051
2900,1146.260854,99.817108,0.028346,99.817109,0.028346,99.817109,0.028346,99.817109,0.028346,99.817110,0.028346,99.817108,0.028346,99.817109,0.028346,99.817109,0.028346,99.817109,0.028346,99.817108,0.028346
3000,1030.950202,99.844697,0.028634,99.844698,0.028634,99.844699,0.028634,99.844698,0.028634,99.844700,0.028634,99.844698,0.028634,99.844698,0.028634,99.844699,0.028634,99.844699,0.028634,99.844698,0.028634
3100,918.743451,99.868319,0.028913,99.868320,0.028913,99.868320,0.028912,99.868320,0.028913,99.868321,0.028912,99.868320,0.028913,99.868320,0.028913,99.868321,0.028912,99.868320,0.028912,99.868319,0.028913
3200,812.195519,99.888504,0.029179,99.888504,0.029178,99.888505,0.029178,99.888504,0.029178,99.888506,0.029178,99.888504,0.029178,99.888504,0.029178,99.888505,0.029178,99.888505,0.029178,99.888504,0.029179
3300,713.025177,99.905718,0.029431,99.905719,0.029430,99.905719,0.029430,99.905719,0.029430,99.905720,0.029430,99.905719,0.029430,99.905719,0.029430,99.905719,0.029430,99.905719,0.029430,99.905718,0.029430
3400,622.214427,99.920372,0.029668,99.920373,0.029668,99.920373,0.029668,99.920372,0.029668,99.920374,0.029667,99.920372,0.029668,99.920372,0.029668,99.920373,0.029668,99.920373,0.029668,99.920372,0.029668
3500,540.153312,99.932824,0.029891,99.932824,0.029891,99.932825,0.029891,99.932824,0.029891,99.932825,0.029890,99.932824,0.029891,99.932824,0.029891,99.932825,0.029891,99.932825,0.029891,99.932824,0.029891
3600,466.794091,99.943387,0.030100,99.943388,0.030100,99.943388,0.030100,99.943388,0.030100,99.943389,0.030099,99.943388,0.030100,99.943388,0.030100,99.943388,0.030100,99.943388,0.030100,99.943387,0.030100
3700,401.790890,99.952335,0.030296,99.952335,0.030295,99.952335,0.030295,99.952335,0.030296,99.952336,0.030295,99.952335,0.030296,99.952335,0.030295,99.952336,0.030295,99.952335,0.030295,99.952335,0.030296
3800,344.613114,99.959902,0.030479,99.959903,0.030479,99.959903,0.030478,99.959903,0.030479,99.959904,0.030478,99.959903,0.030479,99.959903,0.030479,99.959903,0.030478,99.959903,0.030478,99.959902,0.030479
3900,294.630213,99.966295,0.030651,99.966295,0.030650,99.966295,0.030650,99.966295,0.030650,99.966296,0.030649,99.966295,0.030650,99.966295,0.030650,99.966296,0.030650,99.966295,0.030650,99.966295,0.030650
4000,251.170909,99.971688,0.030812,99.971689,0.030811,99.971689,0.030811,99.971689,0.030811,99.971689,0.030810,99.971689,0.030811,99.971689,0.030811,99.971689,0.030811,99.971689,0.030811,99.971688,0.030811
4100,213.562298,99.976234,0.030963,99.976234,0.030963,99.976234,0.030963,99.976234,0.030963,99.976235,0.030962,99.976234,0.030963,99.976234,0.030963,99.976235,0.030962,99.976234,0.030963,99.976234,0.030963
4200,181.154408,99.980061,0.031106,99.980061,0.031105,99.980061,0.031105,99.980061,0.031106,99.980062,0.031105,99.980061,0.031106,99.980061,0.031106,99.980062,0.031105,99.980061,0.031105,99.980061,0.031106
4300,153.334819,99.983280,0.031241,99.983281,0.031241,99.983281,0.031241,99.983281,0.031241,99.983281,0.031240,99.983281,0.031241,99.983281,0.031241,99.983281,0.031240,99.983281,0.031241,99.983281,0.031241
4400,129.536754,99.985987,0.031369,99.985987,0.031369,99.985987,0.031369,99.985987,0.031369,99.985987,0.031368,99.985987,0.031369,99.985987,0.031369,99.985987,0.031368,99.985987,0.031369,99.985987,0.031369
4500,109.242907,99.988260,0.031491,99.988260,0.031490,99.988260,0.031491,99.988260,0.031491,99.988260,0.031489,99.988260,0.031491,99.988260,0.031491,99.988260,0.031490,99.988260,0.031491,99.988260,0.031491
4600,91.986482,99.990168,0.031608,99.990168,0.031607,99.990168,0.031607,99.990168,0.031607,99.990168,0.031606,99.990168,0.031607,99.990168,0.031607,99.990168,0.031606,99.990168,0.031607,99.990168,0.031607
