step,l2,n673_ind,n673_alloc,n3709_ind,n3709_alloc,n121_ind,n121_alloc,n535_ind,n535_alloc,n1087_ind,n1087_alloc,n1225_ind,n1225_alloc,n1639_ind,n1639_alloc,n1777_ind,n1777_alloc,n2329_ind,n2329_alloc,n2605_ind,n2605_alloc
2800,1575.101894,99.785834,0.028121,99.785835,0.028121,99.785836,0.028121,99.785835,0.028121,99.785837,0.028121,99.785835,0.028121,99.785835,0.028121,99.785836,0.028121,99.785836,0.028121,99.785834,0.028121
2900,1459.244619,99.817937,0.028417,99.817938,0.028417,99.817938,0.028417,99.817938,0.028417,99.817939,0.028417,99.817937,0.028417,99.817938,0.028417,99.817938,0.028417,99.817938,0.028417,99.817937,0.028417
3000,1335.881648,99.845464,0.028706,99.845465,0.028705,99.845465,0.028705,99.845465,0.028705,99.845466,0.028705,99.845465,0.028705,99.845465,0.028705,99.845466,0.028705,99.845465,0.028705,99.845464,0.028705
3100,1209.639335,99.869022,0.028983,99.869022,0.028983,99.869023,0.028983,99.869022,0.028983,99.869024,0.028982,99.869022,0.028983,99.869022,0.028983,99.869023,0.028983,99.869023,0.028983,99.869022,0.028983
3200,1084.594271,99.889142,0.029247,99.889143,0.029247,99.889143,0.029247,99.889143,0.029247,99.889144,0.029247,99.889143,0.029247,99.889143,0.029247,99.889143,0.029247,99.889143,0.029247,99.889142,0.029247
3300,964.037444,99.906293,0.029497,99.906294,0.029497,99.906295,0.029497,99.906294,0.029497,99.906295,0.029496,99.906294,0.029497,99.906294,0.029497,99.906295,0.029496,99.906295,0.029497,99.906294,0.029497
3400,850.381745,99.920887,0.029732,99.920888,0.029731,99.920888,0.029731,99.920887,0.029732,99.920889,0.029731,99.920887,0.029732,99.920888,0.029731,99.920888,0.029731,99.920888,0.029731,99.920887,0.029732
3500,745.192163,99.933281,0.029952,99.933282,0.029951,99.933282,0.029951,99.933282,0.029951,99.933283,0.029951,99.933282,0.029951,99.933282,0.029951,99.933283,0.029951,99.933282,0.029951,99.933282,0.029952
3600,649.299165,99.943791,0.030157,99.943792,0.030157,99.943792,0.030157,99.943792,0.030157,99.943793,0.030157,99.943792,0.030157,99.943792,0.030157,99.943792,0.030157,99.943792,0.030157,99.943792,0.030157
3700,562.952427,99.952689,0.030349,99.952690,0.030349,99.952690,0.030349,99.952690,0.030349,99.952691,0.030348,99.952690,0.030349,99.952690,0.030349,99.952690,0.030349,99.952690,0.030349,99.952690,0.030349
