step,l2,n0_ind,n0_alloc,n69_ind,n69_alloc,n138_ind,n138_alloc,n207_ind,n207_alloc,n276_ind,n276_alloc,n345_ind,n345_alloc,n414_ind,n414_alloc,n483_ind,n483_alloc,n552_ind,n552_alloc,n621_ind,n621_alloc
0,3308.522067,40.694018,0.038952,40.694018,0.038952,40.694018,0.038952,40.694018,0.038952,40.694018,0.038952,40.694018,0.038952,40.694018,0.038952,40.694018,0.038952,40.694018,0.038952,40.694018,0.038952
100,2577.266854,73.370016,0.023066,73.370016,0.023066,73.370016,0.023066,73.370016,0.023066,73.370016,0.023066,73.370016,0.023066,73.370016,0.023066,73.370016,0.023066,73.370016,0.023066,73.370016,0.023066
200,2116.925738,86.283598,0.015163,86.283598,0.015163,86.283598,0.015163,86.283598,0.015163,86.283598,0.015163,86.283598,0.015163,86.283598,0.015163,86.283598,0.015163,86.283598,0.015163,86.283598,0.015163
300,1770.275363,92.552624,0.010346,92.552624,0.010346,92.552624,0.010346,92.552624,0.010346,92.552624,0.010346,92.552624,0.010346,92.552624,0.010346,92.552624,0.010346,92.552624,0.010346,92.552624,0.010346
400,1498.624413,95.942810,0.006997,95.942810,0.006997,95.942810,0.006997,95.942810,0.006997,95.942810,0.006997,95.942810,0.006997,95.942810,0.006997,95.942810,0.006997,95.942810,0.006997,95.942810,0.006997
500,1287.209550,97.850982,0.004541,97.850982,0.004541,97.850982,0.004541,97.850982,0.004541,97.850982,0.004541,97.850982,0.004541,97.850982,0.004541,97.850982,0.004541,97.850982,0.004541,97.850982,0.004541
600,1123.311088,98.913171,0.002776,98.913171,0.002776,98.913171,0.002776,98.913171,0.002776,98.913171,0.002776,98.913171,0.002776,98.913171,0.002776,98.913171,0.002776,98.913171,0.002776,98.913171,0.002776
700,994.699898,99.479338,0.001587,99.479338,0.001587,99.479338,0.001587,99.479338,0.001587,99.479338,0.001587,99.479338,0.001587,99.479338,0.001587,99.479338,0.001587,99.479338,0.001587,99.479338,0.001587
800,891.223251,99.764118,0.000848,99.764118,0.000848,99.764118,0.000848,99.764118,0.000848,99.764118,0.000848,99.764118,0.000848,99.764118,0.000848,99.764118,0.000848,99.764118,0.000848,99.764118,0.000848
900,805.401105,99.898836,0.000424,99.898836,0.000424,99.898836,0.000424,99.898836,0.000424,99.898836,0.000424,99.898836,0.000424,99.898836,0.000424,99.898836,0.000424,99.898836,0.000424,99.898836,0.000424
