step,l2,n673_ind,n673_alloc,n3709_ind,n3709_alloc,n121_ind,n121_alloc,n535_ind,n535_alloc,n1087_ind,n1087_alloc,n1225_ind,n1225_alloc,n1639_ind,n1639_alloc,n1777_ind,n1777_alloc,n2329_ind,n2329_alloc,n2605_ind,n2605_alloc
0,3309.046915,51.410201,0.054682,51.410201,0.054682,51.410201,0.054682,51.410201,0.054682,51.410201,0.054682,51.410201,0.054682,51.410201,0.054682,51.410201,0.054682,51.410201,0.054682,51.410201,0.054682
100,2593.948471,61.554024,0.058143,61.554023,0.058143,61.554078,0.058143,61.554069,0.058143,61.554070,0.058143,61.554024,0.058143,61.554069,0.058143,61.554024,0.058143,61.554078,0.058143,61.554023,0.058143
200,2151.296888,70.262559,0.058711,70.262554,0.058711,70.262680,0.058710,70.262661,0.058711,70.262664,0.058710,70.262555,0.058711,70.262661,0.058711,70.262555,0.058711,70.262680,0.058710,70.262554,0.058711
300,1838.659296,77.211802,0.057615,77.211791,0.057615,77.211953,0.057615,77.211929,0.057615,77.211934,0.057615,77.211792,0.057615,77.211929,0.057615,77.211792,0.057615,77.211953,0.057615,77.211791,0.057615
400,1606.431224,82.549460,0.055573,82.549444,0.055573,82.549609,0.055572,82.549584,0.055572,82.549591,0.055572,82.549445,0.055573,82.549584,0.055572,82.549445,0.055573,82.549609,0.055572,82.549444,0.055573
500,1434.563099,86.575102,0.052973,86.575082,0.052973,86.575232,0.052973,86.575210,0.052973,86.575217,0.052973,86.575083,0.052973,86.575210,0.052973,86.575084,0.052973,86.575232,0.052973,86.575082,0.052973
600,1310.036369,89.590754,0.050064,89.590733,0.050064,89.590859,0.050064,89.590842,0.050064,89.590847,0.050064,89.590734,0.050064,89.590842,0.050064,89.590735,0.050064,89.590859,0.050064,89.590733,0.050064
700,1222.336953,91.850496,0.047034,91.850476,0.047034,91.850578,0.047034,91.850564,0.047034,91.850569,0.047034,91.850477,0.047034,91.850564,0.047034,91.850477,0.047034,91.850578,0.047034,91.850476,0.047034
800,1163.690158,93.551928,0.044032,93.551911,0.044032,93.551991,0.044032,93.551980,0.044032,93.551984,0.044032,93.551911,0.044032,93.551980,0.044032,93.551912,0.044032,93.551991,0.044032,93.551910,0.044032
900,1129.203448,94.842721,0.041169,94.842707,0.041169,94.842769,0.041169,94.842761,0.041169,94.842764,0.041169,94.842707,0.041169,94.842761,0.041169,94.842707,0.041169,94.842769,0.041169,94.842706,0.041169
1000,1116.495173,95.831065,0.038520,95.831053,0.038520,95.831102,0.038520,95.831095,0.038520,95.831098,0.038520,95.831053,0.038520,95.831096,0.038520,95.831054,0.038520,95.831102,0.038520,95.831052,0.038520
1100,1124.969908,96.595612,0.036131,96.595603,0.036131,96.595640,0.036131,96.595635,0.036131,96.595638,0.036131,96.595603,0.036131,96.595636,0.036131,96.595604,0.036131,96.595640,0.036131,96.595601,0.036131
1200,1154.848308,97.193511,0.034025,97.193504,0.034025,97.193532,0.034025,97.193528,0.034025,97.193530,0.034025,97.193503,0.034025,97.193529,0.034025,97.193504,0.034025,97.193532,0.034025,97.193502,0.034025
1300,1206.080634,97.666409,0.032211,97.666403,0.032211,97.666426,0.032210,97.666422,0.032210,97.666424,0.032210,97.666403,0.032211,97.666423,0.032210,97.666404,0.032211,97.666426,0.032210,97.666401,0.032211
