step,l2,n673_ind,n673_alloc,n3709_ind,n3709_alloc,n121_ind,n121_alloc,n535_ind,n535_alloc,n1087_ind,n1087_alloc,n1225_ind,n1225_alloc,n1639_ind,n1639_alloc,n1777_ind,n1777_alloc,n2329_ind,n2329_alloc,n2605_ind,n2605_alloc
0,3309.049614,51.409812,0.054594,51.409812,0.054594,51.409812,0.054594,51.409812,0.054594,51.409812,0.054594,51.409812,0.054594,51.409812,0.054594,51.409812,0.054594,51.409812,0.054594,51.409812,0.054594
100,2594.035357,61.528172,0.058073,61.528171,0.058073,61.528225,0.058073,61.528217,0.058073,61.528218,0.058073,61.528171,0.058073,61.528217,0.058073,61.528171,0.058073,61.528225,0.058073,61.528171,0.058073
200,2151.183560,70.228988,0.058653,70.228984,0.058653,70.229110,0.058653,70.229090,0.058653,70.229094,0.058653,70.228985,0.058653,70.229090,0.058653,70.228985,0.058653,70.229110,0.058653,70.228984,0.058653
300,1838.078965,77.178549,0.057566,77.178538,0.057566,77.178700,0.057565,77.178675,0.057565,77.178681,0.057565,77.178539,0.057566,77.178675,0.057565,77.178539,0.057566,77.178700,0.057565,77.178538,0.057566
400,1605.063433,82.519461,0.055528,82.519444,0.055528,82.519609,0.055528,82.519585,0.055528,82.519591,0.055528,82.519445,0.055528,82.519585,0.055528,82.519445,0.055528,82.519609,0.055528,82.519444,0.055528
500,1431.989777,86.549038,0.052932,86.549019,0.052932,86.549168,0.052931,86.549146,0.052932,86.549153,0.052932,86.549020,0.052932,86.549146,0.052932,86.549020,0.052932,86.549168,0.052931,86.549019,0.052932
600,1305.710212,89.568427,0.050025,89.568406,0.050025,89.568532,0.050025,89.568514,0.050025,89.568520,0.050025,89.568407,0.050025,89.568514,0.050025,89.568407,0.050025,89.568532,0.050025,89.568406,0.050025
700,1215.543559,91.831421,0.046996,91.831402,0.046996,91.831503,0.046996,91.831489,0.046996,91.831494,0.046996,91.831402,0.046996,91.831489,0.046996,91.831403,0.046996,91.831503,0.046996,91.831401,0.046996
800,1153.487629,93.535582,0.043995,93.535564,0.043995,93.535645,0.043995,93.535634,0.043995,93.535638,0.043995,93.535565,0.043995,93.535634,0.043995,93.535565,0.043995,93.535645,0.043995,93.535564,0.043995
900,1114.321192,94.828625,0.041132,94.828610,0.041132,94.828673,0.041132,94.828664,0.041132,94.828667,0.041132,94.828610,0.041132,94.828665,0.041132,94.828611,0.041132,94.828673,0.041132,94.828609,0.041132
1000,1095.169608,95.818809,0.038482,95.818797,0.038482,95.818846,0.038482,95.818839,0.038482,95.818842,0.038482,95.818797,0.038482,95.818840,0.038482,95.818798,0.038482,95.818846,0.038482,95.818796,0.038482
1100,1094.697220,96.584858,0.036091,96.584848,0.036091,96.584886,0.036091,96.584881,0.036091,96.584883,0.036091,96.584848,0.036091,96.584881,0.036091,96.584849,0.036091,96.584886,0.036091,96.584847,0.036091
1200,1112.051636,97.183978,0.033983,97.183971,0.033983,97.184000,0.033982,97.183996,0.033982,97.183998,0.033982,97.183970,0.033983,97.183997,0.033982,97.183971,0.033983,97.184000,0.033982,97.183969,0.033983
1300,1145.728006,97.657869,0.032163,97.657864,0.032163,97.657886,0.032163,97.657883,0.032163,97.657885,0.032163,97.657863,0.032163,97.657884,0.032163,97.657864,0.032163,97.657886,0.032163,97.657862,0.032163
1400,1192.625429,98.037054,0.030628,98.037050,0.030629,98.037067,0.030628,98.037065,0.030628,98.037067,0.030628,98.037049,0.030629,98.037066,0.030628,98.037051,0.030629,98.037067,0.030628,98.037048,0.030629
1500,1247.628224,98.343979,0.029366,98.343976,0.029366,98.343990,0.029366,98.343987,0.029366,98.343989,0.029366,98.343975,0.029366,98.343988,0.029366,98.343977,0.029366,98.343990,0.029366,98.343974,0.029366
