step,l2,n0_ind,n0_alloc,n69_ind,n69_alloc,n138_ind,n138_alloc,n207_ind,n207_alloc,n276_ind,n276_alloc,n345_ind,n345_alloc,n414_ind,n414_alloc,n483_ind,n483_alloc,n552_ind,n552_alloc,n621_ind,n621_alloc
0,3309.272525,40.629144,0.033195,40.629144,0.033195,40.629144,0.033195,40.629144,0.033195,40.629144,0.033195,40.629144,0.033195,40.629144,0.033195,40.629144,0.033195,40.629144,0.033195,40.629144,0.033195
100,2615.600105,71.265513,0.020724,71.265513,0.020724,71.265513,0.020724,71.265513,0.020724,71.265513,0.020724,71.265513,0.020724,71.265513,0.020724,71.265513,0.020724,71.265513,0.020724,71.265513,0.020724
200,2163.449108,84.688951,0.013878,84.688951,0.013878,84.688951,0.013878,84.688951,0.013878,84.688951,0.013878,84.688951,0.013878,84.688951,0.013878,84.688951,0.013878,84.688951,0.013878,84.688951,0.013878
300,1815.949282,91.578718,0.009475,91.578718,0.009475,91.578718,0.009475,91.578718,0.009475,91.578718,0.009475,91.578718,0.009475,91.578718,0.009475,91.578718,0.009475,91.578718,0.009475,91.578718,0.009475
400,1539.632549,95.404382,0.006352,95.404382,0.006352,95.404382,0.006352,95.404382,0.006352,95.404382,0.006352,95.404382,0.006352,95.404382,0.006352,95.404382,0.006352,95.404382,0.006352,95.404382,0.006352
500,1322.041623,97.574375,0.004072,97.574375,0.004072,97.574375,0.004072,97.574375,0.004072,97.574375,0.004072,97.574375,0.004072,97.574375,0.004072,97.574375,0.004072,97.574375,0.004072,97.574375,0.004072
600,1151.596165,98.779661,0.002458,98.779661,0.002458,98.779661,0.002458,98.779661,0.002458,98.779661,0.002458,98.779661,0.002458,98.779661,0.002458,98.779661,0.002458,98.779661,0.002458,98.779661,0.002458
700,1016.681506,99.418425,0.001388,99.418425,0.001388,99.418425,0.001388,99.418425,0.001388,99.418425,0.001388,99.418425,0.001388,99.418425,0.001388,99.418425,0.001388,99.418425,0.001388,99.418425,0.001388
800,907.509531,99.737783,0.000734,99.737783,0.000734,99.737783,0.000734,99.737783,0.000734,99.737783,0.000734,99.737783,0.000734,99.737783,0.000734,99.737783,0.000734,99.737783,0.000734,99.737783,0.000734
900,816.770252,99.888036,0.000364,99.888036,0.000364,99.888036,0.000364,99.888036,0.000364,99.888036,0.000364,99.888036,0.000364,99.888036,0.000364,99.888036,0.000364,99.888036,0.000364,99.888036,0.000364
