step,l2,n0_ind,n0_alloc,n69_ind,n69_alloc,n138_ind,n138_alloc,n207_ind,n207_alloc,n276_ind,n276_alloc,n345_ind,n345_alloc,n414_ind,n414_alloc,n483_ind,n483_alloc,n552_ind,n552_alloc,n621_ind,n621_alloc
0,3307.072871,40.819416,0.050080,40.819416,0.050080,40.819416,0.050080,40.819416,0.050080,40.819416,0.050080,40.819416,0.050080,40.819416,0.050080,40.819416,0.050080,40.819416,0.050080,40.819416,0.050080
100,2517.800797,76.950069,0.027172,76.950069,0.027172,76.950069,0.027172,76.950069,0.027172,76.950069,0.027172,76.950069,0.027172,76.950069,0.027172,76.950069,0.027172,76.950069,0.027172,76.950069,0.027172
200,2063.031066,88.864519,0.017426,88.864519,0.017426,88.864519,0.017426,88.864519,0.017426,88.864519,0.017426,88.864519,0.017426,88.864519,0.017426,88.864519,0.017426,88.864519,0.017426,88.864519,0.017426
300,1734.324581,94.109332,0.011967,94.109332,0.011967,94.109332,0.011967,94.109332,0.011967,94.109332,0.011967,94.109332,0.011967,94.109332,0.011967,94.109332,0.011967,94.109332,0.011967,94.109332,0.011967
400,1481.511771,96.811849,0.008272,96.811849,0.008272,96.811849,0.008272,96.811849,0.008272,96.811849,0.008272,96.811849,0.008272,96.811849,0.008272,96.811849,0.008272,96.811849,0.008272,96.811849,0.008272
500,1286.442470,98.309383,0.005515,98.309383,0.005515,98.309383,0.005515,98.309383,0.005515,98.309383,0.005515,98.309383,0.005515,98.309383,0.005515,98.309383,0.005515,98.309383,0.005515,98.309383,0.005515
600,1136.526955,99.143855,0.003456,99.143855,0.003456,99.143855,0.003456,99.143855,0.003456,99.143855,0.003456,99.143855,0.003456,99.143855,0.003456,99.143855,0.003456,99.143855,0.003456,99.143855,0.003456
700,1020.759760,99.590480,0.002015,99.590480,0.002015,99.590480,0.002015,99.590480,0.002015,99.590480,0.002015,99.590480,0.002015,99.590480,0.002015,99.590480,0.002015,99.590480,0.002015,99.590480,0.002015
800,929.805825,99.815183,0.001094,99.815183,0.001094,99.815183,0.001094,99.815183,0.001094,99.815183,0.001094,99.815183,0.001094,99.815183,0.001094,99.815183,0.001094,99.815183,0.001094,99.815183,0.001094
900,856.740046,99.921026,0.000555,99.921026,0.000555,99.921026,0.000555,99.921026,0.000555,99.921026,0.000555,99.921026,0.000555,99.921026,0.000555,99.921026,0.000555,99.921026,0.000555,99.921026,0.000555
1000,796.744933,99.967892,0.000265,99.967892,0.000265,99.967892,0.000265,99.967892,0.000265,99.967892,0.000265,99.967892,0.000265,99.967892,0.000265,99.967892,0.000265,99.967892,0.000265,99.967892,0.000265
1100,746.011452,99.987523,0.000120,99.987523,0.000120,99.987523,0.000120,99.987523,0.000120,99.987523,0.000120,99.987523,0.000120,99.987523,0.000120,99.987523,0.000120,99.987523,0.000120,99.987523,0.000120
