step,l2,n0_ind,n0_alloc,n64_ind,n64_alloc,n62_ind,n62_alloc,n22_ind,n22_alloc,n10_ind,n10_alloc,n51_ind,n51_alloc,n46_ind,n46_alloc,n55_ind,n55_alloc,n41_ind,n41_alloc,n45_ind,n45_alloc
28,35.251546,100.000000,0.000000,97.852792,2.600621,99.989187,0.016010,95.150110,5.330991,98.891994,1.170698,99.135531,0.880731,97.374894,2.658281,99.048131,0.962275,98.090024,1.908369,98.943047,1.032256
29,32.291686,100.000000,0.000000,98.061120,2.571592,99.991971,0.012892,95.663937,5.221259,98.996266,1.158076,99.211392,0.877540,97.615090,2.645609,99.134079,0.955949,98.259848,1.899017,99.033943,1.030411
30,29.483634,100.000000,0.000000,98.253641,2.543773,99.993994,0.010488,96.130312,5.113737,99.090492,1.149245,99.280549,0.876957,97.839326,2.632996,99.212090,0.952655,98.414449,1.895342,99.116898,1.031709
31,26.825730,100.000000,0.000000,98.431325,2.516810,99.995477,0.008617,96.550589,5.013121,99.175903,1.143905,99.343777,0.878835,98.048172,2.620336,99.283117,0.952189,98.555590,1.897012,99.192837,1.035988
32,24.319526,100.000000,0.000000,98.594912,2.490216,99.996574,0.007148,96.927590,4.922256,99.253517,1.141693,99.401720,0.882968,98.242041,2.607331,99.347951,0.954293,98.684741,1.903563,99.262530,1.043018
33,21.968699,100.000000,0.000000,98.744978,2.463542,99.997391,0.005981,97.264894,4.842291,99.324184,1.142202,99.454913,0.889100,98.421233,2.593677,99.407249,0.958663,98.803126,1.914436,99.326614,1.052513
34,19.777238,100.000000,0.000000,98.882023,2.436488,99.998004,0.005044,97.566283,4.773121,99.388611,1.145007,99.503804,0.896951,98.586027,2.579180,99.461557,0.964973,98.911773,1.929009,99.385620,1.064153
35,17.747838,100.000000,0.000000,99.006554,2.408943,99.998467,0.004282,97.835408,4.713887,99.447391,1.149684,99.548771,0.906226,98.736763,2.563808,99.511336,0.972889,99.011544,1.946643,99.439992,1.077601
36,15.880905,100.000000,0.000000,99.119135,2.380968,99.998819,0.003658,98.075630,4.663378,99.501033,1.155830,99.590132,0.916634,98.873898,2.547679,99.556976,0.982086,99.103174,1.966707,99.490107,1.092523
37,14.174186,100.000000,0.000000,99.220413,2.352757,99.999087,0.003141,98.289977,4.620314,99.549973,1.163071,99.628164,0.927900,98.998025,2.531022,99.598813,0.992258,99.187300,1.988605,99.536287,1.108597
38,12.622885,100.000000,0.000000,99.311112,2.324578,99.999293,0.002709,98.481153,4.583492,99.594594,1.171074,99.663108,0.939768,99.109860,2.514125,99.637141,1.003127,99.264479,2.011788,99.578815,1.125525
39,11.220071,100.000000,0.000000,99.392014,2.296724,99.999452,0.002346,98.651576,4.551862,99.635239,1.179550,99.695180,0.952008,99.210217,2.497290,99.672221,1.014444,99.335209,2.035766,99.617942,1.143034
40,9.957210,100.000000,0.000000,99.463934,2.269477,99.999574,0.002038,98.803409,4.524537,99.672215,1.188250,99.724577,0.964418,99.299972,2.480794,99.704290,1.025991,99.399945,2.060109,99.653895,1.160883
41,8.824718,100.000000,0.000000,99.527689,2.243086,99.999668,0.001776,98.938595,4.500791,99.705807,1.196970,99.751481,0.976825,99.380021,2.464870,99.733566,1.037584,99.459104,2.084452,99.686883,1.178862
42,7.812458,100.000000,0.000000,99.584078,2.217747,99.999741,0.001551,99.058882,4.480027,99.736277,1.205545,99.776062,0.989082,99.451255,2.449694,99.760250,1.049069,99.513077,2.108488,99.717102,1.196791
43,6.910149,100.000000,0.000000,99.633863,2.193607,99.999798,0.001358,99.165846,4.461765,99.763869,1.213844,99.798480,1.001071,99.514535,2.435389,99.784531,1.060319,99.562233,2.131967,99.744738,1.214518
44,6.107680,100.000000,0.000000,99.677757,2.170767,99.999842,0.001191,99.260907,4.445607,99.788814,1.221770,99.818888,1.012693,99.570672,2.422025,99.806588,1.071234,99.606922,2.154693,99.769967,1.231919
45,5.395345,100.000000,0.000000,99.716419,2.149279,99.999877,0.001047,99.345342,4.431231,99.811328,1.229254,99.837431,1.023877,99.620421,2.409630,99.826591,1.081738,99.647477,2.176513,99.792957,1.248897
46,4.763984,100.000000,0.000000,99.750446,2.129165,99.999904,0.000921,99.420301,4.418364,99.831614,1.236250,99.854250,1.034567,99.664475,2.398197,99.844699,1.091774,99.684212,2.197317,99.813870,1.265372
47,4.205082,100.000000,0.000000,99.780381,2.110416,99.999925,0.000812,99.486817,4.406783,99.849863,1.242731,99.869477,1.044725,99.703465,2.387697,99.861064,1.101305,99.717431,2.217032,99.832859,1.281290
48,3.710810,100.000000,0.000000,99.806707,2.093001,99.999941,0.000716,99.545815,4.396294,99.866254,1.248688,99.883238,1.054329,99.737956,2.378080,99.875830,1.110305,99.747418,2.235613,99.850072,1.296608
49,3.274030,100.000000,0.000000,99.829855,2.076875,99.999954,0.000633,99.598124,4.386738,99.880955,1.254124,99.895654,1.063367,99.768460,2.369286,99.889132,1.118764,99.774442,2.253043,99.865649,1.311301
50,2.888285,100.000000,0.000000,99.850209,2.061983,99.999964,0.000559,99.644486,4.377978,99.894121,1.259054,99.906839,1.071839,99.795431,2.361252,99.901097,1.126682,99.798760,2.269323,99.879724,1.325356
51,2.547768,100.000000,0.000000,99.868106,2.048263,99.999971,0.000495,99.685563,4.369896,99.905898,1.263497,99.916898,1.079753,99.819273,2.353910,99.911844,1.134067,99.820609,2.284474,99.892421,1.338769
52,2.247276,100.000000,0.000000,99.883844,2.035648,99.999978,0.000438,99.721948,4.362395,99.916419,1.267482,99.925932,1.087125,99.840348,2.347197,99.921483,1.140932,99.840213,2.298529,99.903860,1.351546
53,1.982168,100.000000,0.000000,99.897687,2.024074,99.999982,0.000388,99.754166,4.355393,99.925808,1.271038,99.934035,1.093972,99.858974,2.341050,99.930119,1.147299,99.857780,2.311531,99.914150,1.363698
54,1.748317,100.000000,0.000000,99.909864,2.013473,99.999986,0.000344,99.782688,4.348820,99.934178,1.274200,99.941293,1.100319,99.875435,2.335412,99.937847,1.153189,99.873502,2.323532,99.923397,1.375243
55,1.542059,100.000000,0.000000,99.920578,2.003782,99.999989,0.000305,99.807930,4.342621,99.941632,1.276999,99.947787,1.106193,99.889981,2.330232,99.944754,1.158630,99.887556,2.334588,99.931695,1.386202
56,1.360149,100.000000,0.000000,99.930007,1.994939,99.999991,0.000271,99.830266,4.336749,99.948265,1.279471,99.953591,1.111621,99.902834,2.325461,99.950921,1.163648,99.900108,2.344757,99.939133,1.396599
