step,l2,n0_ind,n0_alloc,n1_ind,n1_alloc,n2_ind,n2_alloc,n3_ind,n3_alloc,n4_ind,n4_alloc,n5_ind,n5_alloc,n6_ind,n6_alloc,n7_ind,n7_alloc,n8_ind,n8_alloc,n9_ind,n9_alloc
28,34.417787,100.000000,0.000000,96.773174,2.167014,84.459164,9.327056,99.965803,0.026642,88.951788,6.343256,98.814241,0.710215,98.579493,0.864510,99.996072,0.002886,99.998316,0.001310,99.993153,0.004569
29,31.261534,100.000000,0.000000,97.342434,1.976388,85.701449,9.518553,99.975888,0.020945,89.461499,6.766882,98.901073,0.726262,98.703083,0.870041,99.997027,0.002406,99.998787,0.001032,99.994297,0.004194
30,28.289742,100.000000,0.000000,97.819771,1.798016,86.929837,9.673898,99.983193,0.016313,90.077884,7.129980,98.983331,0.743496,98.816881,0.877448,99.997748,0.002012,99.999121,0.000821,99.995255,0.003859
31,25.512735,100.000000,0.000000,98.215985,1.633499,88.123674,9.792598,99.988410,0.012592,90.761544,7.433977,99.061205,0.761722,98.921756,0.886432,99.998295,0.001687,99.999360,0.000658,99.996057,0.003555
32,22.936863,100.000000,0.000000,98.542175,1.483624,89.265438,9.876602,99.992089,0.009638,91.478578,7.682894,99.134836,0.780722,99.018441,0.896690,99.998709,0.001418,99.999531,0.000532,99.996730,0.003279
33,20.564066,100.000000,0.000000,98.809039,1.348476,90.341956,9.929376,99.994650,0.007318,92.201708,7.882241,99.204338,0.800269,99.107560,0.907933,99.999022,0.001194,99.999656,0.000433,99.997293,0.003025
34,18.392076,100.000000,0.000000,99.026403,1.227596,91.344582,9.955137,99.996413,0.005515,92.910276,8.038176,99.269802,0.820138,99.189655,0.919892,99.999260,0.001008,99.999746,0.000355,99.997764,0.002791
35,16.415014,100.000000,0.000000,99.202956,1.120150,92.268756,9.958298,99.997614,0.004127,93.589589,8.156923,99.331312,0.840113,99.265206,0.932324,99.999440,0.000851,99.999812,0.000292,99.998157,0.002573
36,14.624184,100.000000,0.000000,99.346164,1.025074,93.113273,9.943110,99.998425,0.003068,94.229962,8.244394,99.388949,0.859996,99.334645,0.945015,99.999577,0.000720,99.999861,0.000242,99.998485,0.002370
37,13.008881,100.000000,0.000000,99.462300,0.941199,93.879486,9.913457,99.998967,0.002268,94.825701,8.305981,99.442801,0.879609,99.398371,0.957780,99.999680,0.000609,99.999896,0.000200,99.998757,0.002181
38,11.557144,100.000000,0.000000,99.556555,0.867341,94.570568,9.872751,99.999326,0.001667,95.374151,8.346450,99.492964,0.898795,99.456757,0.970463,99.999759,0.000515,99.999923,0.000167,99.998983,0.002004
39,10.256383,100.000000,0.000000,99.633166,0.802361,95.190886,9.823909,99.999563,0.001219,95.874874,8.369922,99.539545,0.917421,99.510154,0.982933,99.999818,0.000437,99.999942,0.000139,99.999170,0.001839
40,9.093882,100.000000,0.000000,99.695565,0.745198,95.745504,9.769370,99.999718,0.000888,96.328984,8.379897,99.582667,0.935381,99.558898,0.995087,99.999863,0.000370,99.999957,0.000117,99.999324,0.001685
41,8.057165,100.000000,0.000000,99.746516,0.694891,96.239803,9.711133,99.999819,0.000644,96.738613,8.379306,99.622462,0.952587,99.603310,1.006841,99.999897,0.000313,99.999968,0.000098,99.999451,0.001542
42,7.134268,100.000000,0.000000,99.788237,0.650584,96.679212,9.650806,99.999884,0.000465,97.106525,8.370573,99.659077,0.968977,99.643698,1.018132,99.999922,0.000266,99.999976,0.000083,99.999555,0.001408
43,6.313903,100.000000,0.000000,99.822502,0.611523,97.069021,9.589664,99.999926,0.000335,97.435814,8.355683,99.692667,0.984506,99.680359,1.028916,99.999941,0.000225,99.999982,0.000070,99.999640,0.001284
44,5.585564,100.000000,0.000000,99.850733,0.577050,97.414262,9.528697,99.999953,0.000240,97.729704,8.336244,99.723394,0.999149,99.713575,1.039163,99.999956,0.000191,99.999986,0.000059,99.999710,0.001169
45,4.939572,100.000000,0.000000,99.874068,0.546596,97.719631,9.468660,99.999970,0.000172,97.991401,8.313550,99.751428,1.012896,99.743617,1.048855,99.999967,0.000161,99.999990,0.000050,99.999766,0.001063
46,4.367082,100.000000,0.000000,99.893418,0.519668,97.989456,9.410113,99.999981,0.000123,98.224002,8.288632,99.776938,1.025752,99.770742,1.057985,99.999975,0.000137,99.999992,0.000042,99.999812,0.000965
47,3.860070,100.000000,0.000000,99.909516,0.495841,98.227684,9.353461,99.999988,0.000087,98.430433,8.262304,99.800096,1.037731,99.795193,1.066557,99.999981,0.000116,99.999994,0.000036,99.999849,0.000875
48,3.411287,100.000000,0.000000,99.922952,0.474751,98.437887,9.298981,99.999993,0.000062,98.613418,8.235199,99.821071,1.048857,99.817201,1.074579,99.999986,0.000098,99.999996,0.000030,99.999879,0.000792
49,3.014221,100.000000,0.000000,99.934202,0.456082,98.623276,9.246851,99.999995,0.000044,98.775460,8.207809,99.840029,1.059163,99.836981,1.082068,99.999989,0.000083,99.999997,0.000026,99.999903,0.000716
50,2.663036,100.000000,0.000000,99.943651,0.439563,98.786722,9.197171,99.999997,0.000031,98.918845,8.180506,99.857130,1.068685,99.854735,1.089041,99.999992,0.000070,99.999998,0.000022,99.999923,0.000647
51,2.352519,100.000000,0.000000,99.951611,0.424962,98.930788,9.149979,99.999998,0.000022,99.045641,8.153569,99.872527,1.077463,99.870649,1.095523,99.999994,0.000060,99.999998,0.000019,99.999938,0.000583
52,2.078025,100.000000,0.000000,99.958338,0.412074,99.057749,9.105269,99.999999,0.000016,99.157709,8.127200,99.886368,1.085541,99.884897,1.101537,99.999996,0.000050,99.999999,0.000016,99.999951,0.000526
53,1.835421,100.000000,0.000000,99.964039,0.400725,99.169622,9.063002,99.999999,0.000011,99.256719,8.101544,99.898790,1.092964,99.897641,1.107109,99.999997,0.000043,99.999999,0.000014,99.999961,0.000473
54,1.621035,100.000000,0.000000,99.968885,0.390763,99.268194,9.023111,100.000000,0.000008,99.344164,8.076697,99.909923,1.099774,99.909026,1.112266,99.999998,0.000036,99.999999,0.000012,99.999969,0.000426
55,1.431609,100.000000,0.000000,99.973015,0.382053,99.355043,8.985514,100.000000,0.000005,99.421374,8.052720,99.919887,1.106017,99.919188,1.117033,99.999998,0.000030,99.999999,0.000010,99.999975,0.000383
56,1.264255,100.000000,0.000000,99.976544,0.374479,99.431562,8.950119,100.000000,0.000004,99.489532,8.029645,99.928795,1.111734,99.928250,1.121438,99.999999,0.000026,100.000000,0.000009,99.999980,0.000344
57,1.116415,100.000000,0.000000,99.979569,0.367940,99.498981,8.916824,100.000000,0.000003,99.549689,8.007482,99.936749,1.116965,99.936326,1.125504,99.999999,0.000022,100.000000,0.000007,99.999984,0.000308
58,0.985823,100.000000,0.000000,99.982167,0.362346,99.558383,8.885527,100.000000,0.000002,99.602777,7.986225,99.943845,1.121750,99.943516,1.129256,99.999999,0.000018,100.000000,0.000006,99.999988,0.000277
