origin,destination,weight,unsigned_weight
0,7867,0.627919858,0.627919858
0,2279,-0.589270908,0.0
0,8076,0.518077193,0.518077193
0,6904,0.639222938,0.639222938
0,4628,0.56674102,0.56674102
0,2490,0.53743639,0.53743639
1,6279,0.711014631,0.711014631
1,8627,-0.564816462,0.0
1,1246,0.563844892,0.563844892
1,8789,-0.577226534,0.0
2,1590,-0.608384732,0.0
2,3523,-0.795081074,0.0
2,2777,-0.767955765,0.0
2,7549,0.570678687,0.570678687
3,5660,-0.567175572,0.0
3,2350,0.579686452,0.579686452
3,1742,0.707764959,0.707764959
3,5203,-0.582675495,0.0
3,8798,-0.500505715,0.0
4,5935,0.562542283,0.562542283
4,416,-0.81103013,0.0
4,624,0.675321237,0.675321237
4,5261,0.630131479,0.630131479
5,8007,0.639933322,0.639933322
6,3067,0.524076352,0.524076352
6,4611,-0.632524718,0.0
6,3855,-0.634020884,0.0
7,7115,0.50593954,0.50593954
7,2355,0.629464743,0.629464743
7,2080,-0.858962924,0.0
7,3599,0.540785847,0.540785847
7,2703,-0.529128169,0.0
7,2152,0.810253936,0.810253936
8,1118,0.519534415,0.519534415
8,705,-0.720402994,0.0
9,5534,0.546490012,0.546490012
9,7339,-0.61081113,0.0
10,432,0.524338881,0.524338881
10,715,0.830168821,0.830168821
10,3143,0.64136621,0.64136621
10,1143,-0.503605901,0.0
11,1612,-0.55216885,0.0
11,8519,0.65526054,0.65526054
12,7953,0.687748289,0.687748289
12,158,-0.596365123,0.0
12,1060,0.567689478,0.567689478
12,329,0.533789845,0.533789845
12,1848,-0.57792833,0.0
12,2206,-0.718823589,0.0
13,6919,0.563391109,0.563391109
13,365,0.503124881,0.503124881
13,1336,-0.933197062,0.0
13,4276,0.536225827,0.536225827
14,4991,-0.50129455,0.0
14,8583,0.581852137,0.581852137
15,1049,0.519411655,0.519411655
15,4264,-0.660803661,0.0
15,8410,-0.703077713,0.0
15,8549,-0.617528377,0.0
16,2554,-0.514699541,0.0
16,3812,0.563282518,0.563282518
17,1382,-0.623562327,0.0
17,2418,0.560785532,0.560785532
17,2299,-0.556845878,0.0
17,1546,-0.702224499,0.0
17,265,-0.616783256,0.0
18,1038,-0.502277637,0.0
18,6574,-0.533852428,0.0
18,1124,-0.50644439,0.0
18,4989,-0.548076406,0.0
18,919,0.538729759,0.538729759
19,3465,0.595298849,0.595298849
20,1871,0.5997173,0.5997173
20,3805,-0.566210259,0.0
20,3534,0.634461257,0.634461257
20,5127,0.518226175,0.518226175
20,8647,-0.874199685,0.0
21,7144,-0.520577037,0.0
21,407,-0.579774145,0.0
22,8288,0.528356308,0.528356308
22,1121,-0.505698345,0.0
22,7351,0.542025769,0.542025769
22,3511,0.586728573,0.586728573
22,1097,0.505769818,0.505769818
23,8442,-0.595283073,0.0
24,8461,0.630294449,0.630294449
25,1112,-0.517584457,0.0
25,8364,-0.903837487,0.0
25,8509,0.618542489,0.618542489
26,6349,-0.649973269,0.0
26,3427,-0.552584668,0.0
26,5297,0.53218079,0.53218079
26,8206,-0.56358482,0.0
27,1391,-0.514993473,0.0
28,3659,0.517818742,0.517818742
28,141,-0.53154533,0.0
28,7330,-0.680228902,0.0
28,1121,-0.754601207,0.0
28,4507,0.537583331,0.537583331
28,1825,-0.541202397,0.0
28,463,0.520019785,0.520019785
28,7993,0.639064707,0.639064707
28,2061,0.697197503,0.697197503
29,7275,0.503787281,0.503787281
29,3412,0.532001769,0.532001769
31,6211,-0.54438858,0.0
31,6778,0.659489632,0.659489632
31,6171,0.712890706,0.712890706
31,8061,-0.682073707,0.0
31,6682,-0.780898251,0.0
31,888,-0.6498944,0.0
32,6105,-0.56972274,0.0
32,7486,-0.520953825,0.0
33,4770,0.503503521,0.503503521
33,5129,0.681368309,0.681368309
33,1352,-0.72113732,0.0
34,6213,0.613500497,0.613500497
36,6486,-0.610486498,0.0
36,5488,-0.605716961,0.0
37,3115,-0.505582817,0.0
37,4926,0.671560989,0.671560989
37,2720,0.552864503,0.552864503
37,6255,-0.697771854,0.0
38,4574,-0.528798618,0.0
39,7201,0.586575102,0.586575102
39,6307,-0.56935502,0.0
39,474,-0.56940629,0.0
40,4492,0.656380733,0.656380733
41,8145,0.563007696,0.563007696
41,5268,0.670718402,0.670718402
41,3009,0.502775905,0.502775905
41,2182,-0.511845086,0.0
43,985,0.602903758,0.602903758
43,5838,0.529401224,0.529401224
43,7442,-0.546923318,0.0
44,5289,-0.618911673,0.0
44,1978,-0.51183572,0.0
45,3695,0.575221083,0.575221083
45,7380,0.547629828,0.547629828
46,7077,0.674789919,0.674789919
46,5305,0.621058917,0.621058917
47,2103,-0.5061369,0.0
47,1497,-0.576095835,0.0
48,7599,0.673885553,0.673885553
48,6647,0.671818454,0.671818454
48,6375,-0.500723582,0.0
49,3695,0.562034567,0.562034567
49,7847,-0.546207681,0.0
50,867,-0.629147965,0.0
50,7360,-0.602110502,0.0
50,128,0.502499683,0.502499683
51,3315,-0.537122781,0.0
51,3391,0.770301293,0.770301293
51,8256,0.550677665,0.550677665
51,8191,0.604909829,0.604909829
51,1982,0.643925461,0.643925461
51,3226,-0.698428679,0.0
52,2806,0.547980483,0.547980483
53,7087,0.638686748,0.638686748
53,8468,0.505836228,0.505836228
53,3295,-0.622937471,0.0
53,7437,0.583254827,0.583254827
54,6852,0.546516386,0.546516386
54,3559,-0.588852825,0.0
54,119,-0.596478831,0.0
54,2406,0.55357242,0.55357242
55,5603,0.573424617,0.573424617
55,7272,-0.525789612,0.0
55,1486,0.686215468,0.686215468
55,6887,0.543482959,0.543482959
56,5133,0.852214286,0.852214286
56,8516,0.760931265,0.760931265
56,873,-0.637699248,0.0
57,6210,0.579895943,0.579895943
57,7729,0.681806515,0.681806515
57,5524,0.553194159,0.553194159
57,1396,-0.545203872,0.0
57,1341,-0.820549151,0.0
57,5551,-0.798521452,0.0
57,6475,0.689141656,0.689141656
58,4554,0.725054156,0.725054156
58,6004,0.713416684,0.713416684
58,8710,-0.55796531,0.0
58,4653,-0.520033227,0.0
58,238,-0.647906389,0.0
58,2541,0.682475655,0.682475655
59,4694,0.504286307,0.504286307
59,7131,-0.58571895,0.0
60,7537,-0.791574403,0.0
60,6928,0.588418025,0.588418025
60,720,-0.539826435,0.0
60,6172,-0.659307889,0.0
60,471,0.561709669,0.561709669
60,6475,0.613635106,0.613635106
61,6495,0.52077676,0.52077676
61,6220,-0.623224935,0.0
61,3877,0.608246913,0.608246913
61,5074,0.560870437,0.560870437
62,2139,0.609099863,0.609099863
62,7043,0.525030243,0.525030243
62,3625,0.533181789,0.533181789
62,2747,0.598245553,0.598245553
63,8540,-0.521037154,0.0
64,3043,0.564673335,0.564673335
64,6297,0.564367567,0.564367567
64,2371,0.569394807,0.569394807
64,8812,0.594958203,0.594958203
65,4838,-0.545398356,0.0
67,2701,-0.52463957,0.0
67,153,0.520478545,0.520478545
67,6918,-0.674989796,0.0
67,8164,-0.757264795,0.0
67,8191,-0.586449618,0.0
68,6228,-0.56256543,0.0
68,3655,0.699037225,0.699037225
69,1588,0.627919858,0.627919858
69,830,-0.589270908,0.0
69,1107,0.518077193,0.518077193
69,487,0.639222938,0.639222938
69,4283,0.56674102,0.56674102
69,903,0.53743639,0.53743639
70,6762,0.711014631,0.711014631
70,4004,-0.564816462,0.0
70,8491,0.563844892,0.563844892
70,26,-0.577226534,0.0
71,2625,-0.608384732,0.0
71,7594,-0.795081074,0.0
71,5882,-0.767955765,0.0
71,1408,0.570678687,0.570678687
72,3797,-0.567175572,0.0
72,73,0.579686452,0.579686452
72,8711,0.707764959,0.707764959
72,580,-0.582675495,0.0
72,5003,-0.500505715,0.0
73,7522,0.562542283,0.562542283
73,4901,-0.81103013,0.0
73,2211,0.675321237,0.675321237
73,776,0.630131479,0.630131479
74,3660,0.639933322,0.639933322
75,2308,0.524076352,0.524076352
75,4128,-0.632524718,0.0
75,888,-0.634020884,0.0
76,3044,0.50593954,0.50593954
76,2010,0.629464743,0.629464743
76,769,-0.858962924,0.0
76,6980,0.540785847,0.540785847
76,978,-0.529128169,0.0
76,4291,0.810253936,0.810253936
77,8087,0.519534415,0.519534415
77,8364,-0.720402994,0.0
78,4223,0.546490012,0.546490012
78,1474,-0.61081113,0.0
79,8781,0.524338881,0.524338881
79,6718,0.830168821,0.830168821
79,5834,0.64136621,0.64136621
79,7974,-0.503605901,0.0
80,3061,-0.55216885,0.0
80,2240,0.65526054,0.65526054
81,3882,0.687748289,0.687748289
81,6989,-0.596365123,0.0
81,1129,0.567689478,0.567689478
81,5366,0.533789845,0.533789845
81,2883,-0.57792833,0.0
81,7381,-0.718823589,0.0
82,1054,0.563391109,0.563391109
82,2642,0.503124881,0.503124881
82,853,-0.933197062,0.0
82,8209,0.536225827,0.536225827
83,6164,-0.50129455,0.0
83,2718,0.581852137,0.581852137
84,5534,0.519411655,0.519411655
84,7369,-0.660803661,0.0
84,1855,-0.703077713,0.0
84,1856,-0.617528377,0.0
85,4693,-0.514699541,0.0
85,8159,0.563282518,0.563282518
86,7937,-0.623562327,0.0
86,3729,0.560785532,0.560785532
86,8578,-0.556845878,0.0
86,6031,-0.702224499,0.0
86,3922,-0.616783256,0.0
87,1797,-0.502277637,0.0
87,6367,-0.533852428,0.0
87,3401,-0.50644439,0.0
87,4506,-0.548076406,0.0
87,2782,0.538729759,0.538729759
88,5880,0.595298849,0.595298849
89,1112,0.5997173,0.5997173
89,3874,-0.566210259,0.0
89,8709,0.634461257,0.634461257
89,7404,0.518226175,0.518226175
89,1402,-0.874199685,0.0
90,8731,-0.520577037,0.0
90,6134,-0.579774145,0.0
91,8219,0.528356308,0.528356308
91,6296,-0.505698345,0.0
91,3004,0.542025769,0.542025769
91,5236,0.586728573,0.586728573
91,5996,0.505769818,0.505769818
92,231,-0.595283073,0.0
93,7012,0.630294449,0.630294449
94,905,-0.517584457,0.0
94,1533,-0.903837487,0.0
94,5818,0.618542489,0.618542489
95,2140,-0.649973269,0.0
95,1012,-0.552584668,0.0
95,5228,0.53218079,0.53218079
95,4687,-0.56358482,0.0
96,4220,-0.514993473,0.0
97,7040,0.517818742,0.517818742
97,7938,-0.53154533,0.0
97,3673,-0.680228902,0.0
97,2432,-0.754601207,0.0
97,3610,0.537583331,0.537583331
97,6586,-0.541202397,0.0
97,4810,0.520019785,0.520019785
97,6130,0.639064707,0.639064707
97,7374,0.697197503,0.697197503
98,8172,0.503787281,0.503787281
98,445,0.532001769,0.532001769
100,8626,-0.54438858,0.0
100,7261,0.659489632,0.659489632
100,5550,0.712890706,0.712890706
100,5508,-0.682073707,0.0
100,7303,-0.780898251,0.0
100,3165,-0.6498944,0.0
101,8106,-0.56972274,0.0
101,3139,-0.520953825,0.0
102,561,0.503503521,0.503503521
102,5612,0.681368309,0.681368309
102,5699,-0.72113732,0.0
103,4074,0.613500497,0.613500497
105,6831,-0.610486498,0.0
105,6661,-0.605716961,0.0
106,5530,-0.505582817,0.0
106,855,0.671560989,0.671560989
106,8585,0.552864503,0.552864503
106,114,-0.697771854,0.0
107,4091,-0.528798618,0.0
108,4924,0.586575102,0.586575102
108,4996,-0.56935502,0.0
108,7719,-0.56940629,0.0
109,4009,0.656380733,0.656380733
110,1176,0.563007696,0.563007696
110,2853,0.670718402,0.670718402
110,3492,0.502775905,0.502775905
110,7909,-0.511845086,0.0
112,5884,0.602903758,0.602903758
112,249,0.529401224,0.529401224
112,8201,-0.546923318,0.0
113,3702,-0.618911673,0.0
113,8533,-0.51183572,0.0
114,1832,0.575221083,0.575221083
114,4689,0.547629828,0.547629828
115,1074,0.674789919,0.674789919
115,3856,0.621058917,0.621058917
116,7830,-0.5061369,0.0
116,7914,-0.576095835,0.0
117,906,0.673885553,0.673885553
117,5888,0.671818454,0.671818454
117,5478,-0.500723582,0.0
118,1142,0.562034567,0.562034567
118,5156,-0.546207681,0.0
119,4938,-0.629147965,0.0
119,2737,-0.602110502,0.0
119,6821,0.502499683,0.502499683
120,6696,-0.537122781,0.0
120,4564,0.770301293,0.770301293
120,3909,0.550677665,0.550677665
120,532,0.604909829,0.604909829
120,2189,0.643925461,0.643925461
120,8125,-0.698428679,0.0
121,4669,0.547980483,0.547980483
122,3568,0.638686748,0.638686748
