model,lambda,step,l2
1,0.3,4600,2.688686
1,0.3,4700,2.240545
1,0.3,4800,1.867046
1,0.3,4900,1.555783
1,0.3,5000,1.296403
1,0.3,5100,1.080268
1,0.3,5200,0.900177
1,0.3,5300,0.750122
1,0.3,5400,0.625098
1,0.3,5500,0.52093
1,0.3,5600,0.434138
1,0.3,5700,0.361824
1,0.3,5800,0.301572
1,0.3,5900,0.251368
1,0.3,6000,0.209535
1,0.3,6100,0.174677
1,0.3,6200,0.145628
1,0.3,6300,0.12142
1,0.3,6400,0.101245
1,0.3,6500,0.084429
1,0.3,6600,0.070412
1,0.3,6700,0.058728
1,0.3,6800,0.048988
1,0.3,6900,0.040867
1,0.3,7000,0.034095
1,0.3,7100,0.028449
1,0.3,7200,0.02374
1,0.3,7300,0.019812
1,0.3,7400,0.016536
1,0.3,7500,0.013803
1,0.3,7600,0.011523
1,0.3,7700,0.009621
1,0.3,7800,0.008033
1,0.3,7900,0.006708
1,0.3,8000,0.005603
1,0.3,8100,0.004679
1,0.3,8200,0.003909
1,0.3,8300,0.003265
1,0.3,8400,0.002728
1,0.3,8500,0.002279
1,0.3,8600,0.001905
1,0.3,8700,0.001592
1,0.3,8800,0.00133
1,0.3,8900,0.001112
1,0.3,8960,0.000998
1,0.4,0,3310.041052
1,0.4,100,2660.648877
1,0.4,200,2225.297711
1,0.4,300,1882.661274
1,0.4,400,1603.952792
1,0.4,500,1380.280271
1,0.4,600,1202.364181
1,0.4,700,1059.909182
1,0.4,800,943.864433
1,0.4,900,847.251911
1,0.4,1000,764.937877
1,0.4,1100,693.116672
1,0.4,1200,628.90743
1,0.4,1300,570.18732
1,0.4,1400,515.559583
1,0.4,1500,464.260694
1,0.4,1600,415.943569
1,0.4,1700,370.461806
1,0.4,1800,327.776133
1,0.4,1900,287.949301
1,0.4,2000,251.128459
1,0.4,2100,217.48284
1,0.4,2200,187.131608
1,0.4,2300,160.098084
1,0.4,2400,136.299374
1,0.4,2500,115.561635
1,0.4,2600,97.64701
1,0.4,2700,82.28171
1,0.4,2800,69.179678
1,0.4,2900,58.05996
1,0.4,3000,48.658041
1,0.4,3100,40.732261
1,0.4,3200,34.06664
1,0.4,3300,28.47128
1,0.4,3400,23.781251
1,0.4,3500,19.85464
1,0.4,3600,16.570205
1,0.4,3700,13.824925
1,0.4,3800,11.531632
1,0.4,3900,9.616805
1,0.4,4000,8.018592
1,0.4,4100,6.685056
1,0.4,4200,5.572649
1,0.4,4300,4.644902
1,0.4,4400,3.871302
