model,gamma,step,l2
5,0.4,2100,0.002675
5,0.4,2200,0.0013
5,0.4,2237,0.000995
6,0.1,0,3309.047456
6,0.1,100,2593.965843
6,0.1,200,2151.273967
6,0.1,300,1838.542264
6,0.1,400,1606.155011
6,0.1,500,1434.042197
6,0.1,600,1309.157945
6,0.1,700,1220.95245
6,0.1,800,1161.601905
6,0.1,900,1126.14221
6,0.1,1000,1112.083271
6,0.1,1100,1118.664224
6,0.1,1200,1145.859688
6,0.1,1300,1193.272575
6,0.1,1400,1259.144819
6,0.1,1500,1339.791883
6,0.1,1600,1429.679208
6,0.1,1700,1522.094139
6,0.1,1800,1610.088958
6,0.1,1900,1687.29299
6,0.1,2000,1748.37701
6,0.1,2100,1789.217601
6,0.1,2200,1806.933513
6,0.1,2300,1799.923425
6,0.1,2400,1767.931005
6,0.1,2500,1712.087002
6,0.1,2600,1634.855912
6,0.1,2700,1539.837986
6,0.1,2800,1431.425906
6,0.1,2900,1314.365981
6,0.1,3000,1193.305122
6,0.1,3100,1072.406111
6,0.1,3200,955.088045
6,0.1,3300,843.910409
6,0.1,3400,740.584279
6,0.1,3500,646.072992
6,0.1,3600,560.739304
6,0.1,3700,484.5025
6,0.1,3800,416.980952
6,0.1,3900,357.607959
6,0.1,4000,305.718195
6,0.1,4100,260.607914
6,0.1,4200,221.574459
6,0.1,4300,187.940855
6,0.1,4400,159.070294
6,0.1,4500,134.374022
6,0.1,4600,113.314971
6,0.1,4700,95.408635
6,0.1,4800,80.222091
6,0.1,4900,67.371784
6,0.1,5000,56.520482
6,0.1,5100,47.373697
6,0.1,5200,39.675846
6,0.1,5300,33.206318
6,0.1,5400,27.775601
6,0.1,5500,23.221594
6,0.1,5600,19.40615
6,0.1,5700,16.211915
6,0.1,5800,13.539481
6,0.1,5900,11.304837
6,0.1,6000,9.437136
6,0.1,6100,7.876734
6,0.1,6200,6.573498
6,0.1,6300,5.485342
6,0.1,6400,4.576974
6,0.1,6500,3.818828
6,0.1,6600,3.186154
6,0.1,6700,2.658248
6,0.1,6800,2.217799
6,0.1,6900,1.850344
6,0.1,7000,1.543799
6,0.1,7100,1.288074
6,0.1,7200,1.074747
6,0.1,7300,0.896789
6,0.1,7400,0.748332
6,0.1,7500,0.624485
6,0.1,7600,0.521163
6,0.1,7700,0.434962
6,0.1,7800,0.363041
6,0.1,7900,0.303032
6,0.1,8000,0.252959
6,0.1,8100,0.211174
6,0.1,8200,0.176304
6,0.1,8300,0.147201
6,0.1,8400,0.122911
6,0.1,8500,0.102636
6,0.1,8600,0.085711
6,0.1,8700,0.071582
6,0.1,8800,0.059785
6,0.1,8900,0.049936
6,0.1,9000,0.041712
6,0.1,9100,0.034845
6,0.1,9200,0.029109
6,0.1,9300,0.02432
6,0.1,9400,0.020319
6,0.1,9500,0.016977
6,0.1,9600,0.014186
6,0.1,9700,0.011854
6,0.1,9800,0.009906
6,0.1,9900,0.008278
6,0.1,10000,0.006919
6,0.1,10100,0.005782
6,0.1,10200,0.004833
6,0.1,10300,0.004039
6,0.1,10400,0.003376
6,0.1,10500,0.002822
6,0.1,10600,0.002359
6,0.1,10700,0.001972
6,0.1,10800,0.001648
6,0.1,10900,0.001378
6,0.1,11000,0.001152
6,0.1,11080,0.000998
6,0.2,0,3299.497513
6,0.2,100,2146.639872
6,0.2,200,1603.199315
6,0.2,300,1307.332119
6,0.2,400,1160.63117
6,0.2,500,1111.832004
6,0.2,600,1146.371298
6,0.2,700,1260.390669
6,0.2,800,1431.250623
6,0.2,900,1611.265577
6,0.2,1000,1748.507921
6,0.2,1100,1805.676365
6,0.2,1200,1765.260444
6,0.2,1300,1631.011599
6,0.2,1400,1426.842426
6,0.2,1500,1188.492846
6,0.2,1600,950.492203
6,0.2,1700,736.493702
6,0.2,1800,557.277956
6,0.2,1900,414.154145
6,0.2,2000,303.467804
6,0.2,2100,219.817979
6,0.2,2200,157.721666
6,0.2,2300,112.294033
6,0.2,2400,79.458537
6,0.2,2500,55.955214
6,0.2,2600,39.260858
6,0.2,2700,27.472988
6,0.2,2800,19.186661
6,0.2,2900,13.380958
6,0.2,3000,9.323027
6,0.2,3100,6.491576
6,0.2,3200,4.518283
6,0.2,3300,3.144176
6,0.2,3400,2.187816
6,0.2,3500,1.522405
6,0.2,3600,1.059496
6,0.2,3700,0.737468
6,0.2,3800,0.513427
6,0.2,3900,0.357536
6,0.2,4000,0.249043
6,0.2,4100,0.173519
6,0.2,4200,0.120931
6,0.2,4300,0.084303
6,0.2,4400,0.058785
6,0.2,4500,0.041001
6,0.2,4600,0.028605
6,0.2,4700,0.01996
6,0.2,4800,0.013931
6,0.2,4900,0.009725
6,0.2,5000,0.00679
6,0.2,5100,0.004742
6,0.2,5200,0.003311
6,0.2,5300,0.002313
6,0.2,5400,0.001616
6,0.2,5500,0.001129
6,0.2,5534,0.000999
6,0.3,0,3289.966327
6,0.3,100,1831.238356
6,0.3,200,1305.511344
6,0.3,300,1124.933022
6,0.3,400,1146.892603
6,0.3,500,1342.772272
6,0.3,600,1612.434405
6,0.3,700,1788.115832
6,0.3,800,1762.569803
6,0.3,900,1531.271661
6,0.3,1000,1183.67678
6,0.3,1100,835.178251
6,0.3,1200,553.824995
6,0.3,1300,352.558543
6,0.3,1400,218.069304
6,0.3,1500,132.029673
6,0.3,1600,78.699764
6,0.3,1700,46.407567
6,0.3,1800,27.172764
6,0.3,1900,15.840286
6,0.3,2000,9.209977
6,0.3,2100,5.347316
6,0.3,2200,3.102639
6,0.3,2300,1.799964
6,0.3,2400,1.044421
6,0.3,2500,0.606259
6,0.3,2600,0.352101
6,0.3,2700,0.204613
6,0.3,2800,0.118978
6,0.3,2900,0.069225
6,0.3,3000,0.040301
6,0.3,3100,0.023475
6,0.3,3200,0.01368
6,0.3,3300,0.007976
6,0.3,3400,0.004652
6,0.3,3500,0.002714
6,0.3,3600,0.001584
6,0.3,3686,0.000997
6,0.4,0,3280.45406
6,0.4,100,1597.301193
6,0.4,200,1158.706756
6,0.4,300,1147.423683
6,0.4,400,1434.402225
6,0.4,500,1748.719878
6,0.4,600,1759.859114
6,0.4,700,1417.644012
6,0.4,800,941.307119
6,0.4,900,550.380458
6,0.4,1000,298.992832
6,0.4,1100,155.04486
6,0.4,1200,77.94576
6,0.4,1300,38.440062
6,0.4,1400,18.753198
6,0.4,1500,9.09798
6,0.4,1600,4.402675
6,0.4,1700,2.128823
6,0.4,1800,1.029522
6,0.4,1900,0.49824
6,0.4,2000,0.241363
6,0.4,2100,0.117051
6,0.4,2200,0.056827
6,0.4,2300,0.027617
6,0.4,2400,0.013433
6,0.4,2500,0.006539
6,0.4,2600,0.003185
6,0.4,2700,0.001552
6,0.4,2762,0.000994
