model,gamma,step,l2
2,0.1,3700,14.763565
2,0.1,3800,12.296969
2,0.1,3900,10.241085
2,0.1,4000,8.528096
2,0.1,4100,7.101149
2,0.1,4200,5.912679
2,0.1,4300,4.922949
2,0.1,4400,4.098796
2,0.1,4500,3.412562
2,0.1,4600,2.841193
2,0.1,4700,2.365481
2,0.1,4800,1.969423
2,0.1,4900,1.639689
2,0.1,5000,1.365177
2,0.1,5100,1.136644
2,0.1,5200,0.946389
2,0.1,5300,0.788003
2,0.1,5400,0.656147
2,0.1,5500,0.546377
2,0.1,5600,0.454992
2,0.1,5700,0.378912
2,0.1,5800,0.315572
2,0.1,5900,0.262837
2,0.1,6000,0.21893
2,0.1,6100,0.182371
2,0.1,6200,0.15193
2,0.1,6300,0.12658
2,0.1,6400,0.105469
2,0.1,6500,0.087888
2,0.1,6600,0.073244
2,0.1,6700,0.061046
2,0.1,6800,0.050885
2,0.1,6900,0.04242
2,0.1,7000,0.035366
2,0.1,7100,0.029489
2,0.1,7200,0.024592
2,0.1,7300,0.02051
2,0.1,7400,0.017107
2,0.1,7500,0.014271
2,0.1,7600,0.011906
2,0.1,7700,0.009935
2,0.1,7800,0.00829
2,0.1,7900,0.006919
2,0.1,8000,0.005775
2,0.1,8100,0.004821
2,0.1,8200,0.004025
2,0.1,8300,0.003361
2,0.1,8400,0.002807
2,0.1,8500,0.002344
2,0.1,8600,0.001958
2,0.1,8700,0.001635
2,0.1,8800,0.001366
2,0.1,8900,0.001141
2,0.1,8974,0.000999
2,0.2,0,3297.716666
2,0.2,100,2093.72227
2,0.2,200,1482.345194
2,0.2,300,1114.611825
2,0.2,400,888.925826
2,0.2,500,734.735319
2,0.2,600,615.304098
2,0.2,700,512.269146
2,0.2,800,418.388135
2,0.2,900,333.715215
2,0.2,1000,259.710915
2,0.2,1100,196.69082
2,0.2,1200,144.993087
2,0.2,1300,104.544598
2,0.2,1400,74.204836
2,0.2,1500,52.136082
2,0.2,1600,36.403958
2,0.2,1700,25.327684
2,0.2,1800,17.586364
2,0.2,1900,12.198233
2,0.2,2000,8.456346
2,0.2,2100,5.860726
2,0.2,2200,4.061277
2,0.2,2300,2.814155
2,0.2,2400,1.949972
2,0.2,2500,1.351206
2,0.2,2600,0.936368
2,0.2,2700,0.648968
2,0.2,2800,0.449855
2,0.2,2900,0.3119
2,0.2,3000,0.216307
2,0.2,3100,0.150058
2,0.2,3200,0.104134
2,0.2,3300,0.072292
2,0.2,3400,0.050207
2,0.2,3500,0.034884
2,0.2,3600,0.024248
2,0.2,3700,0.016863
2,0.2,3800,0.011732
2,0.2,3900,0.008167
