model,graph,factor,time1,time2,total_time,final_step,final_l2,gamma,lambda,budget,max_step,tolerance,thread_count,num_nodes,num_edges
4, compressed_sparse_row, uniform, nan, 0.007908, 0.007908, 504, 0.000988, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
5, compressed_sparse_row, local_spillover, 0.000006, 0.008102, 0.008108, 505, 0.000986, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
6, compressed_sparse_row, global_spillover, 0.003770, 0.008568, 0.012338, 543, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
1, adjacency_list, uniform, nan, 0.008081, 0.008081, 504, 0.000988, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
2, adjacency_list, local_spillover, 0.000007, 0.008030, 0.008037, 505, 0.000986, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
3, adjacency_list, global_spillover, 0.003909, 0.008506, 0.012415, 543, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
4, compressed_sparse_row, uniform, nan, 0.007962, 0.007962, 504, 0.000988, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
5, compressed_sparse_row, local_spillover, 0.000006, 0.008047, 0.008053, 505, 0.000986, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
6, compressed_sparse_row, global_spillover, 0.003736, 0.008483, 0.012218, 543, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
1, adjacency_list, uniform, nan, 0.007961, 0.007961, 504, 0.000988, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
2, adjacency_list, local_spillover, 0.000007, 0.008081, 0.008088, 505, 0.000986, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
3, adjacency_list, global_spillover, 0.003886, 0.008346, 0.012232, 543, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
4, compressed_sparse_row, uniform, nan, 0.007916, 0.007916, 504, 0.000988, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
5, compressed_sparse_row, local_spillover, 0.000006, 0.007881, 0.007887, 505, 0.000986, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
6, compressed_sparse_row, global_spillover, 0.003730, 0.008686, 0.012416, 543, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 276, 860
1, adjacency_list, uniform, nan, 0.025541, 0.025541, 1040, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
2, adjacency_list, local_spillover, 0.000011, 0.025200, 0.025211, 1042, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
3, adjacency_list, global_spillover, 0.016106, 0.028321, 0.044427, 1164, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
4, compressed_sparse_row, uniform, nan, 0.025713, 0.025713, 1040, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
5, compressed_sparse_row, local_spillover, 0.000011, 0.025096, 0.025106, 1042, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
6, compressed_sparse_row, global_spillover, 0.015652, 0.028003, 0.043655, 1164, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
1, adjacency_list, uniform, nan, 0.025523, 0.025523, 1040, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
2, adjacency_list, local_spillover, 0.000012, 0.024999, 0.025011, 1042, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
3, adjacency_list, global_spillover, 0.016343, 0.027810, 0.044153, 1164, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
4, compressed_sparse_row, uniform, nan, 0.024532, 0.024532, 1040, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
5, compressed_sparse_row, local_spillover, 0.000011, 0.024984, 0.024995, 1042, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
6, compressed_sparse_row, global_spillover, 0.015576, 0.027669, 0.043245, 1164, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
1, adjacency_list, uniform, nan, 0.025437, 0.025437, 1040, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
2, adjacency_list, local_spillover, 0.000012, 0.025120, 0.025132, 1042, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
3, adjacency_list, global_spillover, 0.016111, 0.028023, 0.044134, 1164, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
4, compressed_sparse_row, uniform, nan, 0.024682, 0.024682, 1040, 0.000997, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
5, compressed_sparse_row, local_spillover, 0.000011, 0.025000, 0.025010, 1042, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
6, compressed_sparse_row, global_spillover, 0.015585, 0.028041, 0.043626, 1164, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 552, 1720
1, adjacency_list, uniform, nan, 0.081573, 0.081573, 2137, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
2, adjacency_list, local_spillover, 0.000020, 0.081776, 0.081795, 2141, 0.000995, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
3, adjacency_list, global_spillover, 0.067873, 0.094794, 0.162667, 2478, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
4, compressed_sparse_row, uniform, nan, 0.081988, 0.081988, 2137, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
5, compressed_sparse_row, local_spillover, 0.000019, 0.081719, 0.081738, 2141, 0.000995, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
6, compressed_sparse_row, global_spillover, 0.065796, 0.093900, 0.159696, 2478, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
1, adjacency_list, uniform, nan, 0.080606, 0.080606, 2137, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
2, adjacency_list, local_spillover, 0.000020, 0.080375, 0.080395, 2141, 0.000995, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
3, adjacency_list, global_spillover, 0.067885, 0.093399, 0.161284, 2478, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
4, compressed_sparse_row, uniform, nan, 0.080887, 0.080887, 2137, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
5, compressed_sparse_row, local_spillover, 0.000019, 0.081059, 0.081077, 2141, 0.000995, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
6, compressed_sparse_row, global_spillover, 0.065569, 0.094325, 0.159894, 2478, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
1, adjacency_list, uniform, nan, 0.082583, 0.082583, 2137, 0.000996, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
2, adjacency_list, local_spillover, 0.000020, 0.082273, 0.082293, 2141, 0.000995, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
3, adjacency_list, global_spillover, 0.068072, 0.095433, 0.163505, 2478, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 1104, 3440
