model,graph,factor,time1,time2,total_time,final_step,final_l2,gamma,lambda,budget,max_step,tolerance,thread_count,num_nodes,num_edges
3, adjacency_list, global_spillover, 1.173399, 1.415446, 2.588845, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.022577, 1.022577, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000068, 1.026923, 1.026991, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
6, compressed_sparse_row, global_spillover, 1.121415, 1.265108, 2.386523, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
1, adjacency_list, uniform, nan, 1.221599, 1.221599, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
2, adjacency_list, local_spillover, 0.000080, 1.145015, 1.145094, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
3, adjacency_list, global_spillover, 1.168441, 1.421424, 2.589865, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.028874, 1.028874, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000069, 1.033114, 1.033183, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
6, compressed_sparse_row, global_spillover, 1.117425, 1.275771, 2.393196, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
1, adjacency_list, uniform, nan, 1.223051, 1.223051, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
2, adjacency_list, local_spillover, 0.000078, 1.142342, 1.142419, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
3, adjacency_list, global_spillover, 1.163797, 1.407459, 2.571257, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.022242, 1.022242, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000068, 1.023826, 1.023894, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
6, compressed_sparse_row, global_spillover, 1.118343, 1.263853, 2.382196, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 4, 4416, 13760
1, adjacency_list, uniform, nan, 0.933491, 0.933491, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
2, adjacency_list, local_spillover, 0.000068, 0.935698, 0.935766, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
3, adjacency_list, global_spillover, 0.825894, 1.155087, 1.980980, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
4, compressed_sparse_row, uniform, nan, 0.875827, 0.875827, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 6, 4416, 13760
