step,l2,n673_ind,n673_alloc,n3709_ind,n3709_alloc,n121_ind,n121_alloc,n535_ind,n535_alloc,n1087_ind,n1087_alloc,n1225_ind,n1225_alloc,n1639_ind,n1639_alloc,n1777_ind,n1777_alloc,n2329_ind,n2329_alloc,n2605_ind,n2605_alloc
0,3309.047456,51.410123,0.054665,51.410123,0.054665,51.410123,0.054665,51.410123,0.054665,51.410123,0.054665,51.410123,0.054665,51.410123,0.054665,51.410123,0.054665,51.410123,0.054665,51.410123,0.054665
100,2593.965843,61.548845,0.058129,61.548844,0.058129,61.548898,0.058129,61.548890,0.058129,61.548891,0.058129,61.548844,0.058129,61.548890,0.058129,61.548844,0.058129,61.548898,0.058129,61.548844,0.058129
200,2151.273967,70.255834,0.058699,70.255830,0.058699,70.255956,0.058699,70.255936,0.058699,70.255940,0.058699,70.255831,0.058699,70.255936,0.058699,70.255831,0.058699,70.255956,0.058699,70.255830,0.058699
300,1838.542264,77.205141,0.057605,77.205131,0.057605,77.205293,0.057605,77.205268,0.057605,77.205274,0.057605,77.205132,0.057605,77.205268,0.057605,77.205132,0.057605,77.205293,0.057605,77.205131,0.057605
400,1606.155011,82.543451,0.055564,82.543435,0.055564,82.543600,0.055563,82.543576,0.055563,82.543582,0.055563,82.543436,0.055564,82.543576,0.055563,82.543436,0.055564,82.543600,0.055563,82.543435,0.055564
500,1434.042197,86.569881,0.052965,86.569861,0.052965,86.570011,0.052965,86.569989,0.052965,86.569995,0.052965,86.569862,0.052965,86.569989,0.052965,86.569862,0.052965,86.570011,0.052965,86.569861,0.052965
600,1309.157945,89.586280,0.050056,89.586260,0.050057,89.586386,0.050056,89.586368,0.050056,89.586373,0.050056,89.586260,0.050057,89.586368,0.050056,89.586261,0.050057,89.586386,0.050056,89.586259,0.050057
700,1220.952450,91.846672,0.047027,91.846652,0.047027,91.846754,0.047026,91.846740,0.047026,91.846745,0.047026,91.846653,0.047027,91.846740,0.047026,91.846653,0.047027,91.846754,0.047026,91.846652,0.047027
800,1161.601905,93.548649,0.044025,93.548632,0.044025,93.548712,0.044024,93.548702,0.044024,93.548705,0.044024,93.548632,0.044025,93.548702,0.044024,93.548633,0.044025,93.548712,0.044024,93.548631,0.044025
900,1126.142210,94.839892,0.041161,94.839877,0.041162,94.839939,0.041161,94.839931,0.041161,94.839934,0.041161,94.839877,0.041162,94.839931,0.041161,94.839878,0.041162,94.839939,0.041161,94.839876,0.041162
1000,1112.083271,95.828602,0.038512,95.828590,0.038512,95.828638,0.038512,95.828632,0.038512,95.828635,0.038512,95.828590,0.038512,95.828633,0.038512,95.828591,0.038512,95.828638,0.038512,95.828589,0.038512
1100,1118.664224,96.593448,0.036123,96.593438,0.036123,96.593476,0.036122,96.593471,0.036123,96.593473,0.036122,96.593438,0.036123,96.593471,0.036123,96.593439,0.036123,96.593476,0.036122,96.593437,0.036123
1200,1145.859688,97.191588,0.034016,97.191581,0.034017,97.191610,0.034016,97.191606,0.034016,97.191608,0.034016,97.191580,0.034017,97.191606,0.034016,97.191581,0.034017,97.191610,0.034016,97.191579,0.034017
1300,1193.272575,97.664682,0.032201,97.664676,0.032201,97.664698,0.032200,97.664695,0.032200,97.664697,0.032200,97.664676,0.032201,97.664696,0.032200,97.664677,0.032201,97.664698,0.032200,97.664674,0.032201
1400,1259.144819,98.043218,0.030671,98.043214,0.030671,98.043232,0.030670,98.043229,0.030670,98.043231,0.030670,98.043213,0.030671,98.043230,0.030670,98.043215,0.030671,98.043232,0.030670,98.043212,0.030671
1500,1339.791883,98.349616,0.029415,98.349614,0.029415,98.349627,0.029414,98.349624,0.029414,98.349626,0.029414,98.349612,0.029415,98.349625,0.029414,98.349614,0.029415,98.349627,0.029414,98.349611,0.029415
1600,1429.679208,98.600442,0.028417,98.600441,0.028417,98.600451,0.028416,98.600449,0.028417,98.600451,0.028417,98.600440,0.028417,98.600450,0.028417,98.600441,0.028417,98.600451,0.028416,98.600438,0.028417
1700,1522.094139,98.808005,0.027659,98.808004,0.027659,98.808012,0.027659,98.808010,0.027659,98.808013,0.027659,98.808003,0.027659,98.808011,0.027659,98.808005,0.027659,98.808012,0.027659,98.808002,0.027659
1800,1610.088958,98.981493,0.027119,98.981492,0.027119,98.981499,0.027119,98.981497,0.027119,98.981499,0.027119,98.981491,0.027119,98.981497,0.027119,98.981493,0.027119,98.981499,0.027119,98.981490,0.027119
1900,1687.292990,99.127793,0.026774,99.127793,0.026774,99.127798,0.026773,99.127796,0.026773,99.127799,0.026773,99.127792,0.026774,99.127797,0.026773,99.127794,0.026774,99.127798,0.026773,99.127791,0.026774
2000,1748.377010,99.252095,0.026593,99.252096,0.026593,99.252100,0.026593,99.252098,0.026593,99.252101,0.026593,99.252095,0.026593,99.252099,0.026593,99.252096,0.026593,99.252100,0.026593,99.252094,0.026593
2100,1789.217601,99.358338,0.026550,99.358339,0.026550,99.358342,0.026550,99.358341,0.026550,99.358343,0.026550,99.358338,0.026550,99.358341,0.026550,99.358339,0.026550,99.358342,0.026550,99.358337,0.026550
2200,1806.933513,99.449544,0.026615,99.449545,0.026615,99.449547,0.026615,99.449546,0.026615,99.449548,0.026615,99.449544,0.026615,99.449546,0.026615,99.449546,0.026615,99.449547,0.026615,99.449543,0.026615
2300,1799.923425,99.528070,0.026763,99.528071,0.026763,99.528073,0.026763,99.528072,0.026763,99.528074,0.026763,99.528070,0.026763,99.528072,0.026763,99.528072,0.026763,99.528073,0.026763,99.528069,0.026763
2400,1767.931005,99.595789,0.026972,99.595790,0.026972,99.595792,0.026972,99.595791,0.026972,99.595793,0.026972,99.595789,0.026972,99.595791,0.026972,99.595791,0.026972,99.595792,0.026972,99.595789,0.026972
2500,1712.087002,99.654222,0.027223,99.654223,0.027223,99.654225,0.027223,99.654224,0.027223,99.654226,0.027223,99.654223,0.027223,99.654224,0.027223,99.654224,0.027223,99.654225,0.027223,99.654222,0.027223
2600,1634.855912,99.704628,0.027501,99.704629,0.027501,99.704631,0.027501,99.704630,0.027501,99.704632,0.027500,99.704629,0.027501,99.704630,0.027501,99.704630,0.027501,99.704631,0.027501,99.704628,0.027501
2700,1539.837986,99.748071,0.027793,99.748072,0.027793,99.748073,0.027793,99.748072,0.027793,99.748074,0.027793,99.748071,0.027793,99.748072,0.027793,99.748073,0.027793,99.748073,0.027793,99.748071,0.027793
2800,1431.425906,99.785460,0.028090,99.785461,0.028090,99.785462,0.028090,99.785461,0.028090,99.785463,0.028090,99.785461,0.028090,99.785461,0.028090,99.785462,0.028090,99.785462,0.028090,99.785460,0.028090
2900,1314.365981,99.817586,0.028385,99.817587,0.028385,99.817587,0.028385,99.817587,0.028385,99.817588,0.028385,99.817586,0.028385,99.817587,0.028385,99.817588,0.028385,99.817587,0.028385,99.817586,0.028385
3000,1193.305122,99.845138,0.028673,99.845139,0.028673,99.845139,0.028673,99.845139,0.028673,99.845140,0.028673,99.845139,0.028673,99.845139,0.028673,99.845140,0.028673,99.845139,0.028673,99.845138,0.028673
3100,1072.406111,99.868721,0.028951,99.868722,0.028951,99.868723,0.028951,99.868722,0.028951,99.868724,0.028951,99.868722,0.028951,99.868722,0.028951,99.868723,0.028951,99.868723,0.028951,99.868722,0.028951
3200,955.088045,99.888868,0.029216,99.888869,0.029216,99.888869,0.029216,99.888869,0.029216,99.888870,0.029215,99.888869,0.029216,99.888869,0.029216,99.888870,0.029215,99.888869,0.029216,99.888868,0.029216
3300,843.910409,99.906046,0.029467,99.906046,0.029466,99.906047,0.029466,99.906046,0.029466,99.906048,0.029466,99.906046,0.029466,99.906046,0.029466,99.906047,0.029466,99.906047,0.029466,99.906046,0.029466
3400,740.584279,99.920664,0.029702,99.920665,0.029702,99.920665,0.029702,99.920665,0.029702,99.920666,0.029702,99.920665,0.029702,99.920665,0.029702,99.920665,0.029702,99.920665,0.029702,99.920664,0.029702
3500,646.072992,99.933083,0.029924,99.933084,0.029923,99.933084,0.029923,99.933084,0.029924,99.933085,0.029923,99.933084,0.029924,99.933084,0.029923,99.933084,0.029923,99.933084,0.029923,99.933083,0.029924
3600,560.739304,99.943616,0.030131,99.943616,0.030130,99.943616,0.030130,99.943616,0.030131,99.943617,0.030130,99.943616,0.030131,99.943616,0.030131,99.943617,0.030130,99.943616,0.030130,99.943616,0.030131
3700,484.502500,99.952535,0.030324,99.952535,0.030324,99.952535,0.030324,99.952535,0.030324,99.952536,0.030324,99.952535,0.030324,99.952535,0.030324,99.952536,0.030324,99.952535,0.030324,99.952535,0.030324
3800,416.980952,99.960077,0.030505,99.960077,0.030505,99.960077,0.030505,99.960077,0.030505,99.960078,0.030504,99.960077,0.030505,99.960077,0.030505,99.960078,0.030505,99.960077,0.030505,99.960077,0.030505
3900,357.607959,99.966446,0.030675,99.966447,0.030674,99.966447,0.030674,99.966446,0.030675,99.966447,0.030674,99.966447,0.030675,99.966447,0.030675,99.966447,0.030674,99.966447,0.030674,99.966446,0.030675
4000,305.718195,99.971819,0.030834,99.971819,0.030833,99.971819,0.030833,99.971819,0.030834,99.971820,0.030833,99.971819,0.030834,99.971819,0.030834,99.971820,0.030833,99.971819,0.030833,99.971819,0.030834
4100,260.607914,99.976346,0.030983,99.976347,0.030983,99.976347,0.030983,99.976346,0.030983,99.976347,0.030982,99.976346,0.030983,99.976347,0.030983,99.976347,0.030982,99.976347,0.030983,99.976346,0.030983
4200,221.574459,99.980157,0.031124,99.980158,0.031124,99.980158,0.031124,99.980158,0.031124,99.980158,0.031123,99.980158,0.031124,99.980158,0.031124,99.980158,0.031123,99.980158,0.031124,99.980157,0.031124
4300,187.940855,99.983363,0.031258,99.983363,0.031257,99.983363,0.031257,99.983363,0.031257,99.983364,0.031256,99.983363,0.031257,99.983363,0.031257,99.983363,0.031257,99.983363,0.031257,99.983363,0.031258
4400,159.070294,99.986057,0.031384,99.986057,0.031384,99.986057,0.031384,99.986057,0.031384,99.986058,0.031383,99.986057,0.031384,99.986057,0.031384,99.986057,0.031383,99.986057,0.031384,99.986057,0.031384
4500,134.374022,99.988319,0.031505,99.988320,0.031504,99.988320,0.031504,99.988319,0.031504,99.988320,0.031503,99.988320,0.031504,99.988320,0.031504,99.988320,0.031503,99.988320,0.031504,99.988319,0.031504
4600,113.314971,99.990218,0.031620,99.990219,0.031619,99.990219,0.031619,99.990218,0.031619,99.990219,0.031618,99.990219,0.031619,99.990219,0.031619,99.990219,0.031618,99.990219,0.031619,99.990218,0.031619
4700,95.408635,99.991811,0.031730,99.991812,0.031728,99.991811,0.031729,99.991811,0.031729,99.991812,0.031727,99.991811,0.031729,99.991811,0.031729,99.991812,0.031728,99.991811,0.031729,99.991811,0.031729
4800,80.222091,99.993147,0.031835,99.993147,0.031834,99.993147,0.031834,99.993147,0.031834,99.993147,0.031832,99.993147,0.031834,99.993147,0.031834,99.993147,0.031833,99.993147,0.031834,99.993147,0.031835
4900,67.371784,99.994266,0.031936,99.994266,0.031935,99.994266,0.031935,99.994266,0.031935,99.994267,0.031934,99.994266,0.031935,99.994266,0.031935,99.994266,0.031934,99.994266,0.031935,99.994266,0.031936
5000,56.520482,99.995204,0.032034,99.995204,0.032032,99.995204,0.032032,99.995204,0.032033,99.995204,0.032031,99.995204,0.032033,99.995204,0.032033,99.995204,0.032031,99.995204,0.032032,99.995204,0.032033
5100,47.373697,99.995989,0.032128,99.995989,0.032126,99.995989,0.032126,99.995989,0.032127,99.995989,0.032124,99.995989,0.032126,99.995989,0.032126,99.995989,0.032125,99.995989,0.032126,99.995989,0.032127
5200,39.675846,99.996646,0.032218,99.996646,0.032216,99.996646,0.032217,99.996646,0.032217,99.996646,0.032215,99.996646,0.032217,99.996646,0.032217,99.996646,0.032216,99.996646,0.032217,99.996646,0.032218
5300,33.206318,99.997196,0.032306,99.997196,0.032304,99.997196,0.032304,99.997196,0.032304,99.997196,0.032302,99.997196,0.032304,99.997196,0.032304,99.997196,0.032303,99.997196,0.032304,99.997196,0.032305
5400,27.775601,99.997656,0.032390,99.997656,0.032388,99.997656,0.032388,99.997656,0.032389,99.997657,0.032386,99.997656,0.032388,99.997656,0.032388,99.997656,0.032387,99.997656,0.032388,99.997656,0.032389
5500,23.221594,99.998041,0.032471,99.998041,0.032469,99.998041,0.032470,99.998041,0.032470,99.998041,0.032467,99.998041,0.032469,99.998041,0.032470,99.998041,0.032468,99.998041,0.032470,99.998041,0.032470
5600,19.406150,99.998363,0.032550,99.998363,0.032547,99.998363,0.032548,99.998363,0.032548,99.998363,0.032545,99.998363,0.032548,99.998363,0.032548,99.998363,0.032546,99.998363,0.032548,99.998363,0.032549
5700,16.211915,99.998632,0.032625,99.998632,0.032623,99.998632,0.032623,99.998632,0.032624,99.998632,0.032620,99.998632,0.032623,99.998632,0.032623,99.998632,0.032621,99.998632,0.032623,99.998632,0.032624
5800,13.539481,99.998857,0.032698,99.998857,0.032696,99.998857,0.032696,99.998857,0.032696,99.998857,0.032693,99.998857,0.032696,99.998857,0.032696,99.998857,0.032694,99.998857,0.032696,99.998857,0.032697
5900,11.304837,99.999045,0.032768,99.999045,0.032765,99.999045,0.032766,99.999045,0.032766,99.999045,0.032762,99.999045,0.032766,99.999045,0.032766,99.999045,0.032764,99.999045,0.032766,99.999045,0.032767
6000,9.437136,99.999202,0.032836,99.999202,0.032832,99.999202,0.032833,99.999202,0.032834,99.999203,0.032829,99.999202,0.032833,99.999202,0.032833,99.999203,0.032831,99.999202,0.032833,99.999202,0.032834
6100,7.876734,99.999334,0.032900,99.999334,0.032897,99.999334,0.032897,99.999334,0.032898,99.999334,0.032893,99.999334,0.032897,99.999334,0.032897,99.999334,0.032895,99.999334,0.032897,99.999334,0.032899
6200,6.573498,99.999444,0.032962,99.999444,0.032958,99.999444,0.032959,99.999444,0.032959,99.999444,0.032954,99.999444,0.032959,99.999444,0.032959,99.999444,0.032956,99.999444,0.032959,99.999444,0.032960
6300,5.485342,99.999535,0.033020,99.999535,0.033016,99.999535,0.033017,99.999535,0.033018,99.999535,0.033013,99.999535,0.033017,99.999535,0.033017,99.999535,0.033014,99.999535,0.033017,99.999535,0.033019
6400,4.576974,99.999612,0.033076,99.999612,0.033072,99.999612,0.033073,99.999612,0.033073,99.999612,0.033068,99.999612,0.033073,99.999612,0.033073,99.999612,0.033070,99.999612,0.033073,99.999612,0.033074
6500,3.818828,99.999676,0.033129,99.999676,0.033125,99.999676,0.033126,99.999676,0.033126,99.999676,0.033120,99.999676,0.033125,99.999676,0.033125,99.999676,0.033122,99.999676,0.033126,99.999676,0.033127
6600,3.186154,99.999729,0.033179,99.999729,0.033174,99.999729,0.033176,99.999729,0.033176,99.999729,0.033170,99.999729,0.033175,99.999729,0.033175,99.999729,0.033172,99.999729,0.033176,99.999729,0.033177
6700,2.658248,99.999774,0.033226,99.999774,0.033221,99.999774,0.033222,99.999774,0.033223,99.999774,0.033216,99.999774,0.033222,99.999774,0.033222,99.999774,0.033218,99.999774,0.033222,99.999774,0.033224
6800,2.217799,99.999811,0.033270,99.999811,0.033265,99.999811,0.033266,99.999811,0.033267,99.999811,0.033260,99.999811,0.033266,99.999811,0.033266,99.999811,0.033262,99.999811,0.033266,99.999811,0.033268
6900,1.850344,99.999842,0.033311,99.999842,0.033306,99.999842,0.033307,99.999842,0.033308,99.999842,0.033300,99.999842,0.033307,99.999842,0.033307,99.999842,0.033303,99.999842,0.033307,99.999842,0.033309
7000,1.543799,99.999868,0.033350,99.999868,0.033344,99.999868,0.033345,99.999868,0.033346,99.999868,0.033338,99.999868,0.033345,99.999868,0.033345,99.999868,0.033341,99.999868,0.033345,99.999868,0.033347
7100,1.288074,99.999890,0.033385,99.999890,0.033379,99.999890,0.033381,99.999890,0.033381,99.999890,0.033372,99.999890,0.033380,99.999890,0.033380,99.999890,0.033375,99.999890,0.033381,99.999890,0.033382
7200,1.074747,99.999908,0.033417,99.999908,0.033411,99.999908,0.033413,99.999908,0.033413,99.999908,0.033404,99.999908,0.033412,99.999908,0.033412,99.999908,0.033407,99.999908,0.033413,99.999908,0.033414
7300,0.896789,99.999923,0.033447,99.999923,0.033440,99.999923,0.033442,99.999923,0.033443,99.999923,0.033433,99.999923,0.033441,99.999923,0.033441,99.999923,0.033436,99.999923,0.033442,99.999923,0.033444
7400,0.748332,99.999936,0.033474,99.999936,0.033466,99.999936,0.033469,99.999936,0.033469,99.999936,0.033459,99.999936,0.033468,99.999936,0.033468,99.999936,0.033462,99.999936,0.033469,99.999936,0.033471
7500,0.624485,99.999947,0.033498,99.999947,0.033490,99.999947,0.033493,99.999947,0.033493,99.999947,0.033482,99.999947,0.033491,99.999947,0.033491,99.999947,0.033486,99.999947,0.033493,99.999947,0.033495
7600,0.521163,99.999955,0.033520,99.999955,0.033511,99.999955,0.033514,99.999955,0.033514,99.999955,0.033503,99.999955,0.033512,99.999955,0.033513,99.999955,0.033507,99.999955,0.033514,99.999955,0.033516
7700,0.434962,99.999963,0.033539,99.999963,0.033530,99.999963,0.033533,99.999963,0.033533,99.999963,0.033521,99.999963,0.033531,99.999963,0.033531,99.999963,0.033525,99.999963,0.033533,99.999963,0.033535
7800,0.363041,99.999969,0.033555,99.999969,0.033546,99.999969,0.033549,99.999969,0.033549,99.999969,0.033536,99.999969,0.033547,99.999969,0.033547,99.999969,0.033541,99.999969,0.033549,99.999969,0.033551
7900,0.303032,99.999974,0.033569,99.999974,0.033560,99.999974,0.033563,99.999974,0.033563,99.999974,0.033550,99.999974,0.033561,99.999974,0.033561,99.999974,0.033554,99.999974,0.033563,99.999974,0.033565
8000,0.252959,99.999978,0.033581,99.999978,0.033571,99.999978,0.033574,99.999978,0.033575,99.999978,0.033560,99.999978,0.033572,99.999978,0.033572,99.999978,0.033565,99.999978,0.033574,99.999978,0.033576
8100,0.211174,99.999982,0.033591,99.999982,0.033580,99.999982,0.033584,99.999982,0.033584,99.999982,0.033569,99.999982,0.033582,99.999982,0.033582,99.999982,0.033574,99.999982,0.033584,99.999982,0.033586
8200,0.176304,99.999985,0.033599,99.999985,0.033588,99.999985,0.033591,99.999985,0.033592,99.999985,0.033576,99.999985,0.033589,99.999985,0.033589,99.999985,0.033581,99.999985,0.033591,99.999985,0.033593
8300,0.147201,99.999987,0.033605,99.999987,0.033593,99.999987,0.033597,99.999987,0.033598,99.999987,0.033581,99.999987,0.033594,99.999987,0.033594,99.999987,0.033586,99.999987,0.033597,99.999987,0.033599
8400,0.122911,99.999989,0.033609,99.999989,0.033597,99.999989,0.033601,99.999989,0.033601,99.999989,0.033583,99.999989,0.033598,99.999989,0.033598,99.999989,0.033589,99.999989,0.033601,99.999989,0.033603
8500,0.102636,99.999991,0.033612,99.999991,0.033599,99.999991,0.033603,99.999991,0.033604,99.999991,0.033585,99.999991,0.033600,99.999991,0.033600,99.999991,0.033591,99.999991,0.033603,99.999991,0.033605
