step,l2,n0_ind,n0_alloc,n1_ind,n1_alloc,n2_ind,n2_alloc,n3_ind,n3_alloc,n4_ind,n4_alloc,n5_ind,n5_alloc,n6_ind,n6_alloc,n7_ind,n7_alloc,n8_ind,n8_alloc,n9_ind,n9_alloc
0,3310.041052,40.562751,0.027304,53.852947,0.021139,54.760665,0.020576,49.808684,0.023031,49.487047,0.023184,49.124604,0.023325,51.272583,0.022311,57.381230,0.019537,41.105869,0.026971,49.786614,0.023087
100,2660.648877,68.879943,0.018100,65.620411,0.019912,46.839931,0.030712,68.992841,0.017997,68.895381,0.018050,67.833202,0.018673,65.041207,0.020269,73.844656,0.015193,60.232899,0.023080,75.962325,0.013992
200,2225.297711,82.790839,0.012412,69.443692,0.021923,47.084546,0.037963,78.578128,0.015414,77.565474,0.016132,78.271152,0.015638,73.502905,0.019049,83.840666,0.011643,73.519353,0.019067,87.605049,0.008944
300,1882.661274,90.395136,0.008508,70.040955,0.026379,50.821231,0.043343,84.650902,0.013560,82.559539,0.015393,84.574647,0.013627,79.207819,0.018351,89.942234,0.008898,82.675935,0.015321,93.245441,0.005983
400,1603.952792,94.747727,0.005665,69.541372,0.032640,55.105976,0.048162,88.919468,0.011915,85.996650,0.015041,88.567377,0.012288,83.299248,0.017938,93.696609,0.006788,88.858835,0.011995,96.147010,0.004152
500,1380.280271,97.239752,0.003588,69.172221,0.039811,58.720871,0.053349,92.007713,0.010355,88.581295,0.014775,91.188846,0.011406,86.361647,0.017647,96.021928,0.005161,92.943519,0.009155,97.711033,0.002971
600,1202.364181,98.620767,0.002138,69.537153,0.046884,61.416632,0.059402,94.239996,0.008892,90.539867,0.014582,92.970237,0.010839,88.726160,0.017379,97.470943,0.003909,95.586088,0.006824,98.588839,0.002181
700,1059.909182,99.347470,0.001192,70.746671,0.053061,63.376988,0.066424,95.841399,0.007563,91.954912,0.014606,94.225663,0.010487,90.594669,0.017081,98.380075,0.002950,97.265328,0.004982,99.100183,0.001638
800,943.864433,99.707802,0.000623,72.648511,0.057862,64.920562,0.074182,96.984739,0.006394,92.884334,0.015056,95.144384,0.010281,92.096552,0.016735,98.954875,0.002219,98.318180,0.003573,99.408597,0.001255
900,847.251911,99.875984,0.000306,75.025925,0.061052,66.344194,0.082227,97.802171,0.005384,93.384655,0.016163,95.841784,0.010170,93.318444,0.016344,99.321186,0.001665,98.972036,0.002523,99.600709,0.000979
1000,764.937877,99.949984,0.000141,77.679966,0.062567,67.846920,0.090064,98.391263,0.004518,93.504479,0.018184,96.389303,0.010123,94.321232,0.015925,99.556392,0.001247,99.375091,0.001758,99.723963,0.000776
1100,693.116672,99.980749,0.000062,80.440844,0.062487,69.509273,0.097329,98.821190,0.003772,93.281240,0.021422,96.832134,0.010119,95.149858,0.015497,99.708436,0.000934,99.621831,0.001213,99.805191,0.000624
1200,628.907430,99.992879,0.000026,83.168098,0.061024,71.313707,0.103904,99.139290,0.003125,92.751202,0.026215,97.199615,0.010149,95.838824,0.015085,99.807309,0.000700,99.771829,0.000830,99.860040,0.000508
1300,570.187320,99.997441,0.000011,85.757135,0.058455,73.189174,0.109921,99.377177,0.002560,91.971563,0.032857,97.511287,0.010208,96.415271,0.014708,99.871961,0.000527,99.862415,0.000567,99.897902,0.000420
1400,515.559583,99.999095,0.000004,88.142170,0.055055,75.061070,0.115654,99.555775,0.002066,91.044609,0.041456,97.780476,0.010297,96.900781,0.014383,99.914464,0.000398,99.916838,0.000387,99.924565,0.000351
1500,464.260694,99.999680,0.000002,90.287649,0.051063,76.888564,0.121352,99.689124,0.001637,90.123915,0.051771,98.016465,0.010419,97.312556,0.014120,99.942562,0.000303,99.949454,0.000267,99.943679,0.000296
1600,415.943569,99.999885,0.000001,92.174846,0.046701,78.675283,0.127089,99.787153,0.001272,89.384970,0.063174,98.225839,0.010576,97.664287,0.013928,99.961243,0.000232,99.969021,0.000185,99.957603,0.000253
1700,370.461806,99.999958,0.000000,93.794721,0.042193,80.451235,0.132724,99.857549,0.000970,88.969712,0.074805,98.413357,0.010775,97.966834,0.013810,99.973736,0.000179,99.980817,0.000131,99.967889,0.000218
1800,327.776133,99.999984,0.000000,95.148819,0.037748,82.241578,0.137975,99.906735,0.000727,88.942321,0.085839,98.582499,0.011015,98.228769,0.013767,99.982139,0.000139,99.987988,0.000094,99.975577,0.000190
1900,287.949301,99.999994,0.000000,96.251542,0.033542,84.045242,0.142554,99.940162,0.000536,89.283900,0.095684,98.735832,0.011295,98.456826,0.013792,99.987820,0.000109,99.992394,0.000068,99.981380,0.000167
2000,251.128459,99.999997,0.000000,97.128774,0.029690,85.834103,0.146272,99.962303,0.000391,89.919072,0.104040,98.875249,0.011613,98.656275,0.013877,99.991678,0.000086,99.995134,0.000050,99.985791,0.000147
2100,217.482840,99.999999,0.000000,97.813292,0.026252,87.565961,0.149067,99.976633,0.000281,90.750535,0.110845,99.002158,0.011961,98.831252,0.014012,99.994307,0.000068,99.996857,0.000038,99.989162,0.000130
2200,187.131608,99.999999,0.000000,98.339606,0.023240,89.199188,0.150978,99.985723,0.000200,91.685071,0.116194,99.117621,0.012332,98.985033,0.014187,99.996103,0.000055,99.997954,0.000029,99.991745,0.000116
2300,160.098084,100.000000,0.000000,98.740081,0.020637,90.702050,0.152111,99.991387,0.000141,92.647052,0.120262,99.222463,0.012717,99.120258,0.014391,99.997332,0.000044,99.998658,0.000022,99.993726,0.000103
2400,136.299374,100.000000,0.000000,99.042795,0.018408,92.055902,0.152597,99.994862,0.000099,93.582257,0.123254,99.317368,0.013109,99.239100,0.014614,99.998173,0.000035,99.999115,0.000017,99.995245,0.000091
2500,115.561635,100.000000,0.000000,99.270831,0.016509,93.254265,0.152574,99.996965,0.000069,94.456145,0.125370,99.402938,0.013500,99.343399,0.014848,99.998750,0.000028,99.999413,0.000013,99.996408,0.000081
