step,l2,n673_ind,n673_alloc,n3709_ind,n3709_alloc,n121_ind,n121_alloc,n535_ind,n535_alloc,n1087_ind,n1087_alloc,n1225_ind,n1225_alloc,n1639_ind,n1639_alloc,n1777_ind,n1777_alloc,n2329_ind,n2329_alloc,n2605_ind,n2605_alloc
0,3280.454060,51.726325,0.054665,51.726325,0.054665,51.726325,0.054665,51.726325,0.054665,51.726325,0.054665,51.726325,0.054665,51.726325,0.054665,51.726325,0.054665,51.726325,0.054665,51.726325,0.054665
100,1597.301193,82.764558,0.055545,82.764541,0.055545,82.764707,0.055544,82.764683,0.055544,82.764689,0.055544,82.764542,0.055545,82.764683,0.055544,82.764542,0.055545,82.764707,0.055544,82.764541,0.055545
200,1158.706756,93.645741,0.043886,93.645723,0.043886,93.645803,0.043885,93.645792,0.043885,93.645796,0.043885,93.645724,0.043886,93.645792,0.043885,93.645724,0.043886,93.645803,0.043885,93.645723,0.043886
300,1147.423683,97.232860,0.033864,97.232853,0.033864,97.232881,0.033863,97.232877,0.033863,97.232879,0.033863,97.232852,0.033864,97.232878,0.033863,97.232853,0.033864,97.232881,0.033863,97.232851,0.033864
400,1434.402225,98.619693,0.028307,98.619692,0.028307,98.619702,0.028307,98.619700,0.028307,98.619702,0.028307,98.619691,0.028307,98.619701,0.028307,98.619692,0.028307,98.619702,0.028307,98.619689,0.028307
500,1748.719878,99.262269,0.026543,99.262270,0.026543,99.262274,0.026543,99.262272,0.026543,99.262274,0.026543,99.262269,0.026543,99.262273,0.026543,99.262270,0.026543,99.262274,0.026543,99.262268,0.026543
600,1759.859114,99.601736,0.026971,99.601738,0.026971,99.601739,0.026971,99.601738,0.026971,99.601740,0.026971,99.601737,0.026971,99.601738,0.026971,99.601738,0.026971,99.601739,0.026971,99.601736,0.026971
700,1417.644012,99.789059,0.028116,99.789060,0.028116,99.789061,0.028116,99.789060,0.028116,99.789062,0.028116,99.789060,0.028116,99.789060,0.028116,99.789061,0.028116,99.789061,0.028116,99.789059,0.028116
800,941.307119,99.891013,0.029250,99.891014,0.029250,99.891015,0.029250,99.891014,0.029250,99.891016,0.029249,99.891014,0.029250,99.891014,0.029250,99.891015,0.029250,99.891015,0.029250,99.891014,0.029250
900,550.380458,99.944853,0.030163,99.944854,0.030163,99.944854,0.030163,99.944853,0.030163,99.944854,0.030163,99.944853,0.030163,99.944853,0.030163,99.944854,0.030163,99.944854,0.030163,99.944853,0.030163
