step,l2,n0_ind,n0_alloc,n69_ind,n69_alloc,n138_ind,n138_alloc,n207_ind,n207_alloc,n276_ind,n276_alloc,n345_ind,n345_alloc,n414_ind,n414_alloc,n483_ind,n483_alloc,n552_ind,n552_alloc,n621_ind,n621_alloc
0,3308.153416,40.725902,0.041782,40.725902,0.041782,40.725902,0.041782,40.725902,0.041782,40.725902,0.041782,40.725902,0.041782,40.725902,0.041782,40.725902,0.041782,40.725902,0.041782,40.725902,0.041782
100,2560.358385,74.335280,0.024153,74.335280,0.024153,74.335280,0.024153,74.335280,0.024153,74.335280,0.024153,74.335280,0.024153,74.335280,0.024153,74.335280,0.024153,74.335280,0.024153,74.335280,0.024153
200,2098.736565,86.993827,0.015758,86.993827,0.015758,86.993827,0.015758,86.993827,0.015758,86.993827,0.015758,86.993827,0.015758,86.993827,0.015758,86.993827,0.015758,86.993827,0.015758,86.993827,0.015758
300,1754.409821,92.982273,0.010759,92.982273,0.010759,92.982273,0.010759,92.982273,0.010759,92.982273,0.010759,92.982273,0.010759,92.982273,0.010759,92.982273,0.010759,92.982273,0.010759,92.982273,0.010759
400,1485.988136,96.180905,0.007311,96.180905,0.007311,96.180905,0.007311,96.180905,0.007311,96.180905,0.007311,96.180905,0.007311,96.180905,0.007311,96.180905,0.007311,96.180905,0.007311,96.180905,0.007311
500,1277.869650,97.974622,0.004776,97.974622,0.004776,97.974622,0.004776,97.974622,0.004776,97.974622,0.004776,97.974622,0.004776,97.974622,0.004776,97.974622,0.004776,97.974622,0.004776,97.974622,0.004776
600,1117.101296,98.973905,0.002939,98.973905,0.002939,98.973905,0.002939,98.973905,0.002939,98.973905,0.002939,98.973905,0.002939,98.973905,0.002939,98.973905,0.002939,98.973905,0.002939,98.973905,0.002939
700,991.405225,99.507678,0.001689,99.507678,0.001689,99.507678,0.001689,99.507678,0.001689,99.507678,0.001689,99.507678,0.001689,99.507678,0.001689,99.507678,0.001689,99.507678,0.001689,99.507678,0.001689
800,890.598682,99.776667,0.000907,99.776667,0.000907,99.776667,0.000907,99.776667,0.000907,99.776667,0.000907,99.776667,0.000907,99.776667,0.000907,99.776667,0.000907,99.776667,0.000907,99.776667,0.000907
900,807.188948,99.904092,0.000456,99.904092,0.000456,99.904092,0.000456,99.904092,0.000456,99.904092,0.000456,99.904092,0.000456,99.904092,0.000456,99.904092,0.000456,99.904092,0.000456,99.904092,0.000456
1000,735.948083,99.960928,0.000215,99.960928,0.000215,99.960928,0.000215,99.960928,0.000215,99.960928,0.000215,99.960928,0.000215,99.960928,0.000215,99.960928,0.000215,99.960928,0.000215,99.960928,0.000215
1100,673.197191,99.984866,0.000096,99.984866,0.000096,99.984866,0.000096,99.984866,0.000096,99.984866,0.000096,99.984866,0.000096,99.984866,0.000096,99.984866,0.000096,99.984866,0.000096,99.984866,0.000096
1200,616.286408,99.994411,0.000040,99.994411,0.000040,99.994411,0.000040,99.994411,0.000040,99.994411,0.000040,99.994411,0.000040,99.994411,0.000040,99.994411,0.000040,99.994411,0.000040,99.994411,0.000040
1300,563.341045,99.998023,0.000016,99.998023,0.000016,99.998023,0.000016,99.998023,0.000016,99.998023,0.000016,99.998023,0.000016,99.998023,0.000016,99.998023,0.000016,99.998023,0.000016,99.998023,0.000016
1400,513.162711,99.999325,0.000006,99.999325,0.000006,99.999325,0.000006,99.999325,0.000006,99.999325,0.000006,99.999325,0.000006,99.999325,0.000006,99.999325,0.000006,99.999325,0.000006,99.999325,0.000006
1500,465.164685,99.999775,0.000002,99.999775,0.000002,99.999775,0.000002,99.999775,0.000002,99.999775,0.000002,99.999775,0.000002,99.999775,0.000002,99.999775,0.000002,99.999775,0.000002,99.999775,0.000002
1600,419.254204,99.999926,0.000001,99.999926,0.000001,99.999926,0.000001,99.999926,0.000001,99.999926,0.000001,99.999926,0.000001,99.999926,0.000001,99.999926,0.000001,99.999926,0.000001,99.999926,0.000001
1700,375.630577,99.999975,0.000000,99.999975,0.000000,99.999975,0.000000,99.999975,0.000000,99.999975,0.000000,99.999975,0.000000,99.999975,0.000000,99.999975,0.000000,99.999975,0.000000,99.999975,0.000000
1800,334.548347,99.999992,0.000000,99.999992,0.000000,99.999992,0.000000,99.999992,0.000000,99.999992,0.000000,99.999992,0.000000,99.999992,0.000000,99.999992,0.000000,99.999992,0.000000,99.999992,0.000000
1900,296.157196,99.999997,0.000000,99.999997,0.000000,99.999997,0.000000,99.999997,0.000000,99.999997,0.000000,99.999997,0.000000,99.999997,0.000000,99.999997,0.000000,99.999997,0.000000,99.999997,0.000000
2000,260.493126,99.999999,0.000000,99.999999,0.000000,99.999999,0.000000,99.999999,0.000000,99.999999,0.000000,99.999999,0.000000,99.999999,0.000000,99.999999,0.000000,99.999999,0.000000,99.999999,0.000000
2100,227.563766,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
2200,197.408178,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
2300,170.084872,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
2400,145.624194,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
2500,123.990717,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
2600,105.072510,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
2700,88.692045,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
2800,74.627255,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
2900,62.633690,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
3000,52.462961,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
3100,43.875941,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
3200,36.651014,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
3300,30.588362,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
3400,25.511434,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
3500,21.266572,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
3600,17.721554,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
3700,14.763565,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
3800,12.296969,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
