step,l2,n0_ind,n0_alloc,n1_ind,n1_alloc,n2_ind,n2_alloc,n3_ind,n3_alloc,n4_ind,n4_alloc,n5_ind,n5_alloc,n6_ind,n6_alloc,n7_ind,n7_alloc,n8_ind,n8_alloc,n9_ind,n9_alloc
0,3284.426541,41.809268,0.027304,54.428853,0.021139,54.356930,0.020576,50.692439,0.023031,50.413240,0.023184,49.893564,0.023325,51.815243,0.022311,58.009046,0.019537,41.795250,0.026971,50.973109,0.023087
100,1593.325783,94.951046,0.005567,69.496276,0.032772,55.329407,0.048207,89.108624,0.011865,86.165009,0.015002,88.758780,0.012223,83.469727,0.017924,93.871683,0.006714,89.123349,0.011909,96.303694,0.004062
200,938.450242,99.730740,0.000591,72.699504,0.058141,64.997400,0.074425,97.053542,0.006335,92.962995,0.014997,95.206241,0.010243,92.175380,0.016724,98.995043,0.002171,98.384565,0.003498,99.435981,0.001217
300,625.764482,99.993871,0.000023,83.300594,0.061087,71.390917,0.104256,99.162205,0.003084,92.744826,0.026271,97.226407,0.010130,95.881343,0.015061,99.816471,0.000678,99.784472,0.000800,99.866699,0.000491
400,413.348576,99.999908,0.000001,92.288445,0.046549,78.767530,0.127438,99.794711,0.001247,89.331697,0.063676,98.240798,0.010571,97.688294,0.013906,99.963396,0.000222,99.971170,0.000176,99.959644,0.000244
500,248.731076,99.999998,0.000000,97.192880,0.029456,85.945667,0.146621,99.964220,0.000379,89.946120,0.104678,98.885253,0.011626,98.670880,0.013873,99.992203,0.000082,99.995515,0.000047,99.986501,0.000142
600,134.430640,100.000000,0.000000,99.070122,0.018198,92.159941,0.152737,99.995219,0.000095,93.649025,0.123635,99.324685,0.013141,99.248580,0.014630,99.998304,0.000033,99.999190,0.000016,99.995502,0.000088
700,67.982037,100.000000,0.000000,99.680081,0.012216,96.044332,0.150568,99.999457,0.000021,96.628097,0.128304,99.614534,0.014655,99.590233,0.015584,99.999634,0.000014,99.999841,0.000006,99.998573,0.000055
800,33.377407,100.000000,0.000000,99.880464,0.009131,98.081362,0.146261,99.999944,0.000004,98.323588,0.127773,99.791597,0.015872,99.784542,0.016413,99.999922,0.000006,99.999967,0.000003,99.999572,0.000033
900,16.193560,100.000000,0.000000,99.951461,0.007525,99.081158,0.142278,99.999995,0.000001,99.186479,0.125958,99.891867,0.016733,99.889960,0.017030,99.999984,0.000003,99.999993,0.000001,99.999877,0.000019
1000,7.818014,100.000000,0.000000,99.978841,0.006717,99.561291,0.139187,99.999999,0.000000,99.608742,0.124126,99.945449,0.017299,99.944959,0.017456,99.999997,0.000001,99.999998,0.000000,99.999966,0.000011
1100,3.766029,100.000000,0.000000,99.990243,0.006379,99.790502,0.136935,100.000000,0.000000,99.812456,0.122582,99.972976,0.017658,99.972854,0.017739,99.999999,0.000000,100.000000,0.000000,99.999991,0.000006
1200,1.812319,100.000000,0.000000,99.995307,0.006340,99.899841,0.135338,100.000000,0.000000,99.910205,0.121333,99.986764,0.017881,99.986735,0.017921,100.000000,0.000000,100.000000,0.000000,99.999998,0.000003
1300,0.871925,100.000000,0.000000,99.997674,0.006507,99.952041,0.134227,100.000000,0.000000,99.957009,0.120322,99.993563,0.018014,99.993555,0.018035,100.000000,0.000000,100.000000,0.000000,99.999999,0.000002
1400,0.419632,100.000000,0.000000,99.998824,0.006820,99.976995,0.133474,100.000000,0.000000,99.979406,0.119492,99.996882,0.018090,99.996880,0.018100,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
1500,0.202118,100.000000,0.000000,99.999398,0.007237,99.988944,0.132987,100.000000,0.000000,99.990124,0.118800,99.998493,0.018126,99.998493,0.018131,100.000000,0.000000,100.000000,0.000000,100.000000,0.000001
1600,0.097464,100.000000,0.000000,99.999690,0.007723,99.994676,0.132700,100.000000,0.000000,99.995257,0.118219,99.999272,0.018137,99.999272,0.018139,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
1700,0.047065,100.000000,0.000000,99.999840,0.008247,99.997430,0.132569,100.000000,0.000000,99.997718,0.117735,99.999649,0.018129,99.999649,0.018130,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
1800,0.022764,100.000000,0.000000,99.999918,0.008778,99.998757,0.132560,100.000000,0.000000,99.998900,0.117343,99.999830,0.018109,99.999830,0.018110,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
1900,0.011028,100.000000,0.000000,99.999958,0.009287,99.999398,0.132647,100.000000,0.000000,99.999469,0.117041,99.999918,0.018081,99.999918,0.018082,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
2000,0.005352,100.000000,0.000000,99.999979,0.009749,99.999707,0.132803,100.000000,0.000000,99.999743,0.116827,99.999960,0.018049,99.999960,0.018050,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
2100,0.002601,100.000000,0.000000,99.999989,0.010145,99.999858,0.133006,100.000000,0.000000,99.999875,0.116697,99.999981,0.018016,99.999981,0.018016,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
2200,0.001266,100.000000,0.000000,99.999995,0.010464,99.999931,0.133234,100.000000,0.000000,99.999939,0.116643,99.999991,0.017984,99.999991,0.017984,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
2233,0.000998,100.000000,0.000000,99.999996,0.010552,99.999945,0.133311,100.000000,0.000000,99.999952,0.116639,99.999993,0.017974,99.999993,0.017974,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000
