step,l2,n673_ind,n673_alloc,n3709_ind,n3709_alloc,n121_ind,n121_alloc,n535_ind,n535_alloc,n1087_ind,n1087_alloc,n1225_ind,n1225_alloc,n1639_ind,n1639_alloc,n1777_ind,n1777_alloc,n2329_ind,n2329_alloc,n2605_ind,n2605_alloc
0,3299.497513,51.515524,0.054665,51.515524,0.054665,51.515524,0.054665,51.515524,0.054665,51.515524,0.054665,51.515524,0.054665,51.515524,0.054665,51.515524,0.054665,51.515524,0.054665,51.515524,0.054665
100,2146.639872,70.352868,0.058718,70.352864,0.058718,70.352991,0.058717,70.352971,0.058717,70.352975,0.058717,70.352865,0.058718,70.352971,0.058717,70.352865,0.058718,70.352991,0.058717,70.352864,0.058718
200,1603.199315,82.617182,0.055558,82.617166,0.055558,82.617332,0.055557,82.617307,0.055557,82.617314,0.055557,82.617167,0.055558,82.617307,0.055557,82.617167,0.055558,82.617332,0.055557,82.617166,0.055558
300,1307.332119,89.636222,0.050026,89.636201,0.050026,89.636327,0.050026,89.636309,0.050026,89.636315,0.050026,89.636202,0.050026,89.636309,0.050026,89.636202,0.050026,89.636327,0.050026,89.636201,0.050026
400,1160.631170,93.581097,0.043978,93.581079,0.043979,93.581160,0.043978,93.581149,0.043978,93.581153,0.043978,93.581080,0.043979,93.581149,0.043978,93.581080,0.043979,93.581160,0.043978,93.581079,0.043979
500,1111.832004,95.849611,0.038460,95.849599,0.038460,95.849648,0.038460,95.849641,0.038460,95.849644,0.038460,95.849599,0.038460,95.849642,0.038460,95.849600,0.038460,95.849648,0.038460,95.849598,0.038460
600,1146.371298,97.205395,0.033966,97.205388,0.033966,97.205416,0.033965,97.205412,0.033965,97.205414,0.033965,97.205387,0.033966,97.205413,0.033965,97.205388,0.033966,97.205416,0.033965,97.205386,0.033966
700,1260.390669,98.052512,0.030626,98.052508,0.030626,98.052525,0.030625,98.052522,0.030625,98.052524,0.030625,98.052507,0.030626,98.052523,0.030625,98.052508,0.030626,98.052525,0.030625,98.052506,0.030626
800,1431.250623,98.606883,0.028380,98.606882,0.028380,98.606892,0.028380,98.606890,0.028380,98.606892,0.028380,98.606881,0.028380,98.606891,0.028380,98.606882,0.028380,98.606892,0.028380,98.606879,0.028380
900,1611.265577,98.986101,0.027093,98.986101,0.027093,98.986107,0.027092,98.986105,0.027092,98.986108,0.027092,98.986100,0.027093,98.986106,0.027092,98.986101,0.027093,98.986107,0.027092,98.986099,0.027093
1000,1748.507921,99.255498,0.026576,99.255498,0.026576,99.255502,0.026576,99.255501,0.026576,99.255503,0.026576,99.255497,0.026577,99.255501,0.026576,99.255499,0.026576,99.255502,0.026576,99.255496,0.026577
1100,1805.676365,99.452122,0.026607,99.452123,0.026607,99.452126,0.026607,99.452124,0.026607,99.452126,0.026607,99.452122,0.026607,99.452125,0.026607,99.452124,0.026607,99.452126,0.026607,99.452121,0.026607
