step,l2,n0_ind,n0_alloc,n1_ind,n1_alloc,n2_ind,n2_alloc,n3_ind,n3_alloc,n4_ind,n4_alloc,n5_ind,n5_alloc,n6_ind,n6_alloc,n7_ind,n7_alloc,n8_ind,n8_alloc,n9_ind,n9_alloc
0,3301.484401,40.978257,0.027304,54.044916,0.021139,54.626087,0.020576,50.103269,0.023031,49.795778,0.023184,49.380924,0.023325,51.453469,0.022311,57.590502,0.019537,41.335663,0.026971,50.182113,0.023087
100,2220.698706,82.955801,0.012373,69.488424,0.021917,47.110039,0.037988,78.691291,0.015395,77.672462,0.016110,78.394798,0.015616,73.599304,0.019041,83.957150,0.011622,73.668590,0.019051,87.747488,0.008904
200,1600.409740,94.815922,0.005632,69.526695,0.032684,55.180069,0.048177,88.982672,0.011899,86.052880,0.015028,88.631377,0.012267,83.356213,0.017933,93.755189,0.006763,88.947232,0.011967,96.199603,0.004122
300,1199.799068,98.646519,0.002116,69.527423,0.046974,61.467362,0.059437,94.278860,0.008873,90.579426,0.014566,93.005442,0.010822,88.763538,0.017376,97.499254,0.003888,95.632741,0.006793,98.609904,0.002162
400,942.056716,99.715580,0.000612,72.665244,0.057955,64.946327,0.074263,97.007764,0.006375,92.910578,0.015037,95.165082,0.010268,92.122877,0.016731,98.968365,0.002203,98.340469,0.003548,99.417814,0.001242
500,763.611566,99.951814,0.000138,77.715542,0.062632,67.866940,0.090179,98.404538,0.004501,93.517031,0.018173,96.402436,0.010114,94.340438,0.015918,99.562826,0.001236,99.385061,0.001741,99.728350,0.000767
600,627.858729,99.993222,0.000025,83.212129,0.061045,71.339318,0.104021,99.146974,0.003112,92.749169,0.026233,97.208575,0.010142,95.853024,0.015077,99.810396,0.000693,99.776096,0.000820,99.862283,0.000502
700,514.641615,99.999150,0.000004,88.185728,0.055035,75.090848,0.115763,99.560255,0.002055,91.029396,0.041539,97.786988,0.010293,96.911378,0.014374,99.915956,0.000393,99.918611,0.000382,99.925780,0.000346
800,415.079418,99.999893,0.000001,92.212746,0.046651,78.705938,0.127205,99.789693,0.001264,89.367190,0.063341,98.230836,0.010574,97.672307,0.013921,99.961970,0.000229,99.969750,0.000182,99.958291,0.000250
900,326.940403,99.999985,0.000000,95.178682,0.037678,82.274901,0.138101,99.908074,0.000721,88.935930,0.086055,98.586512,0.011016,98.234958,0.013762,99.982498,0.000137,99.988291,0.000092,99.975979,0.000188
1000,250.330403,99.999998,0.000000,97.150225,0.029612,85.871168,0.146389,99.962950,0.000387,89.927866,0.104252,98.878588,0.011617,98.661153,0.013876,99.991856,0.000085,99.995263,0.000049,99.986031,0.000145
1100,186.405515,100.000000,0.000000,98.353947,0.023163,89.236979,0.151063,99.986013,0.000198,91.703863,0.116369,99.120463,0.012339,98.988945,0.014189,99.996191,0.000054,99.998011,0.000028,99.991889,0.000114
1200,135.676193,100.000000,0.000000,99.051961,0.018338,92.090563,0.152644,99.994983,0.000098,93.604425,0.123381,99.319809,0.013119,99.242266,0.014619,99.998218,0.000035,99.999141,0.000017,99.995332,0.000090
1300,97.138240,100.000000,0.000000,99.448194,0.014837,94.329339,0.152179,99.998271,0.000047,95.270964,0.126877,99.481823,0.013897,99.437308,0.015095,99.999168,0.000022,99.999621,0.000010,99.997347,0.000071
1400,68.779523,100.000000,0.000000,99.673037,0.012322,95.997709,0.150591,99.999422,0.000022,96.592060,0.128206,99.611024,0.014627,99.586122,0.015566,99.999613,0.000015,99.999830,0.000006,99.998514,0.000056
1500,48.351484,100.000000,0.000000,99.802166,0.010514,97.201887,0.148516,99.999811,0.000010,97.582425,0.128302,99.711957,0.015280,99.698354,0.016004,99.999821,0.000010,99.999923,0.000004,99.999178,0.000044
1600,33.836018,100.000000,0.000000,99.877693,0.009209,98.054488,0.146335,99.999939,0.000005,98.301339,0.127756,99.789247,0.015845,99.781971,0.016393,99.999917,0.000006,99.999965,0.000003,99.999552,0.000034
